step,wall_s,body_influence,controls_setup,io,monitors,remaining_aerodynamics,rigid_kinematics,shedding,solve,total_step,unclassified_residual,wake_influence,wake_propagation_maintenance,wake_sfs,g_influence_pass1,g_influence_pass3
1,45.8,0.82345205,3.5846e-05,0.57080518,0.031325206,0.098413401,0.000506125,1.5916e-05,0.879833889,2.419195561,0.00018878900000007803,0.003450061,0.011169098,0.000204848,0.00307,0.82332
2,2.42,0.821578506,2.6382e-05,0.293286319,0.028572068,0.098896178,0.000476725,1.5729e-05,0.795263341,2.051783393,0.00017425700000028854,0.00449254,0.009001348,0.00018482200000000001,0.00415,0.82144
3,2.05,0.821500426,2.4682e-05,0.294536395,0.030091071,0.098893764,0.000487597,1.7637e-05,0.794185711,2.054658956,0.00018212300000008952,0.005770963,0.008968587,0.00018431600000000002,0.00543,0.82136
4,2.06,0.820495098,2.4319e-05,0.300657002,0.02977615,0.098824344,0.000482205,0.858121288,0.782565963,2.907501305,0.00017777899999948943,0.007246396,0.009130761,0.000188753,0.0069,0.82036
5,2.91,1.089867947,1.8805e-05,0.671862702,0.137281771,0.789164733,0.000509093,0.015250251,2.267427448,56.563055568,0.00019027900000878617,51.569161693,0.022320846,50.976532862,0.59233,1.0897
6,56.6,1.09055164,3.963e-05,0.341675022,0.034198284,0.107789091,0.000503698,0.013196789,0.790840522,2.779898473,0.00019578599999992008,0.387287786,0.013620225,0.37311668200000003,0.01395,1.0904
7,2.78,1.089833043,2.7303e-05,0.577931217,0.033115672,0.109053055,0.000510027,0.011593321,0.669893301,2.879783304,0.00017744800000007999,0.374340318,0.013308599,0.358886604,0.01523,1.0897
8,2.88,1.089280671,2.5496e-05,0.330311232,0.032806904,0.09758482099999999,0.000469854,0.0112961,0.888837348,3.335365176,0.00016989199999972726,0.874086356,0.010496502,0.857344114,0.01651,1.0891
9,3.34,1.090577777,3.0656e-05,0.32494737,1.570942519,0.09734713199999999,0.00051374,0.011690896,0.676678635,3.822281259,0.00017068899999994613,0.033414491,0.015967354,0.0158538,0.01736,1.0904
10,3.82,1.090967897,2.2039e-05,0.318905524,0.032812635,0.09752505099999999,0.000480485,0.011664877,0.819213743,2.417514482,0.00018619400000030595,0.035110608,0.010625429,0.016833583000000003,0.01809,1.0908
11,2.42,1.091002383,2.6709e-05,0.333836492,0.035231347,0.09747053400000001,0.000469465,0.011791122,0.6782063,2.296423003,0.00016541100000022624,0.037551543,0.010671697,0.0182301,0.01909,1.0909
12,2.3,1.091705316,1.8398e-05,0.336666503,0.034528953,0.098483575,0.000486787,0.012079458,0.68741494,2.312525445,0.00016525300000003185,0.038860898,0.012115364,0.018657466,0.02001,1.0915
