case,q,structure,K_max_or_ell,n_leaves,popmax,u_pairs,v_routes,w_entries,x_entries,model_cost
uniform,3,adaptive,8,830,8,265940,62474,4777,4777,3.927686e7
uniform,3,adaptive,16,510,13,369076,55916,0,0,3.3918676e7
uniform,3,adaptive,32,510,13,369076,55916,0,0,3.3918676e7
uniform,3,adaptive,64,64,63,2197426,3096,0,0,4.055026e6
uniform,3,adaptive,128,64,63,2197426,3096,0,0,4.055026e6
uniform,3,uniform,2,64,63,2197426,3096,0,0,4.055026e6
uniform,3,uniform,3,510,13,369076,55916,0,0,3.3918676e7
uniform,3,uniform,4,2148,4,54824,216648,0,0,1.30043624e8
uniform,3,uniform,5,2884,3,9740,258352,0,0,1.5502094e8
uniform,3,uniform,6,2982,2,3894,264140,0,0,1.58487894e8
uniform,12,adaptive,8,830,8,1308718,186210,26542,26542,1.21396138e8
uniform,12,adaptive,16,510,13,1849070,159668,0,0,9.764987e7
uniform,12,adaptive,32,510,13,1849070,159668,0,0,9.764987e7
uniform,12,adaptive,64,64,63,7328204,752,0,0,7.779404e6
uniform,12,adaptive,128,64,63,7328204,752,0,0,7.779404e6
uniform,12,uniform,2,64,63,7328204,752,0,0,7.779404e6
uniform,12,uniform,3,510,13,1849070,159668,0,0,9.764987e7
uniform,12,uniform,4,2148,4,308322,945800,0,0,5.67788322e8
uniform,12,uniform,5,2884,3,46376,1187716,0,0,7.12675976e8
uniform,12,uniform,6,2982,2,8570,1225092,0,0,7.3506377e8
multiscale30,3,adaptive,8,1052,8,184504,106266,4802,4802,6.4953064e7
multiscale30,3,adaptive,16,717,16,333596,67344,2992,2992,4.1905796e7
multiscale30,3,adaptive,32,417,32,591554,33802,2287,2287,2.3017754e7
multiscale30,3,adaptive,64,264,60,899064,18426,2001,2001,1.4948664e7
multiscale30,3,adaptive,128,78,122,2415412,3192,296,296,4.992352e6
multiscale30,3,uniform,2,64,617,3711336,3096,0,0,5.568936e6
multiscale30,3,uniform,3,502,122,1185516,54814,0,0,3.4073916e7
multiscale30,3,uniform,4,1630,23,292304,151396,0,0,9.1129904e7
multiscale30,3,uniform,5,2399,8,49530,223184,0,0,1.3395993e8
multiscale30,3,uniform,6,2883,3,9608,255958,0,0,1.53584408e8
multiscale30,12,adaptive,8,1052,8,887526,289576,44405,44405,1.83466566e8
multiscale30,12,adaptive,16,717,16,1470178,174692,24905,24905,1.13334418e8
multiscale30,12,adaptive,32,417,32,2374152,62052,15387,15387,5.0165172e7
multiscale30,12,adaptive,64,264,60,3641690,18324,10119,10119,2.540825e7
multiscale30,12,adaptive,128,78,122,6686448,752,496,496,8.054688e6
multiscale30,12,uniform,2,64,617,8286586,752,0,0,8.737786e6
multiscale30,12,uniform,3,502,122,3200364,155082,0,0,9.6249564e7
multiscale30,12,uniform,4,1630,23,1137882,632256,0,0,3.80491482e8
multiscale30,12,uniform,5,2399,8,255900,942250,0,0,5.656059e8
multiscale30,12,uniform,6,2883,3,42706,1117482,0,0,6.70531906e8
multiscale100,3,adaptive,8,926,8,220088,82184,4365,4365,5.0525888e7
multiscale100,3,adaptive,16,733,15,280484,73692,2321,2321,4.5079784e7
multiscale100,3,adaptive,32,510,32,471214,40652,3198,3198,2.7487654e7
