case,q,K_max,sigma_kind,rho_t,demoted,contract_bad,u_pairs_gated,u_pairs_ungated
uniform,3,32,uniform_small,4.789,0,0,369076,369076
uniform,3,32,heterogeneous,4.789,3860,0,521166,369076
uniform,3,32,one_fat,4.789,406,0,385684,369076
uniform,12,32,uniform_small,4.789,0,0,1849070,1849070
uniform,12,32,heterogeneous,4.789,0,0,1849070,1849070
uniform,12,32,one_fat,4.789,307,0,1862798,1849070
multiscale30,3,32,uniform_small,4.789,0,0,591554,591554
multiscale30,3,32,heterogeneous,4.789,8632,0,1390750,591554
multiscale30,3,32,one_fat,4.789,742,0,622409,591554
multiscale30,12,32,uniform_small,4.789,0,0,2374152,2374152
multiscale30,12,32,heterogeneous,4.789,461,0,2417672,2374152
multiscale30,12,32,one_fat,4.789,509,0,2398297,2374152
filament,3,32,uniform_small,4.789,0,0,283296,283296
filament,3,32,heterogeneous,4.789,6508,0,611228,283296
filament,3,32,one_fat,4.789,842,0,346736,283296
filament,12,32,uniform_small,4.789,0,0,948012,948012
filament,12,32,heterogeneous,4.789,436,0,974560,948012
filament,12,32,one_fat,4.789,700,0,1008280,948012
