variant,precision,P,lamb_helmholtz,batch,n_dir,n_norm,n_offset_class,seconds,seconds_per_expansion
materialized,Float64,8,false,64,1,1,1,2.230830e-04,3.485672e-06
factored,Float64,8,false,64,1,1,1,2.371250e-04,3.705078e-06
materialized,Float64,8,false,64,1,8,8,2.230830e-04,3.485672e-06
factored,Float64,8,false,64,1,8,8,2.372920e-04,3.707688e-06
materialized,Float64,8,false,64,1,64,64,2.231670e-04,3.486984e-06
factored,Float64,8,false,64,1,64,64,2.368330e-04,3.700516e-06
materialized,Float64,8,false,64,8,1,8,2.250830e-04,3.516922e-06
factored,Float64,8,false,64,8,1,8,2.499170e-04,3.904953e-06
materialized,Float64,8,false,64,8,8,8,2.250830e-04,3.516922e-06
factored,Float64,8,false,64,8,8,8,2.498750e-04,3.904297e-06
materialized,Float64,8,false,64,8,64,64,2.250830e-04,3.516922e-06
factored,Float64,8,false,64,8,64,64,2.498750e-04,3.904297e-06
materialized,Float64,8,false,64,64,1,64,2.252500e-04,3.519531e-06
factored,Float64,8,false,64,64,1,64,2.543340e-04,3.973969e-06
materialized,Float64,8,false,64,64,8,64,2.252080e-04,3.518875e-06
factored,Float64,8,false,64,64,8,64,2.539170e-04,3.967453e-06
materialized,Float64,8,false,64,64,64,64,2.253750e-04,3.521484e-06
factored,Float64,8,false,64,64,64,64,2.540830e-04,3.970047e-06
materialized,Float64,8,false,4096,1,1,1,1.435908e-02,3.505635e-06
factored,Float64,8,false,4096,1,1,1,1.522371e-02,3.716726e-06
materialized,Float64,8,false,4096,1,8,8,1.434654e-02,3.502574e-06
factored,Float64,8,false,4096,1,8,8,1.523158e-02,3.718648e-06
materialized,Float64,8,false,4096,1,64,64,1.434246e-02,3.501577e-06
factored,Float64,8,false,4096,1,64,64,1.522813e-02,3.717804e-06
materialized,Float64,8,false,4096,1,4096,4096,1.437292e-02,3.509013e-06
factored,Float64,8,false,4096,1,4096,4096,1.523346e-02,3.719106e-06
materialized,Float64,8,false,4096,8,1,8,1.447304e-02,3.533458e-06
factored,Float64,8,false,4096,8,1,8,1.604608e-02,3.917501e-06
materialized,Float64,8,false,4096,8,8,8,1.448017e-02,3.535197e-06
factored,Float64,8,false,4096,8,8,8,1.608558e-02,3.927144e-06
materialized,Float64,8,false,4096,8,64,64,1.447096e-02,3.532949e-06
factored,Float64,8,false,4096,8,64,64,1.599592e-02,3.905253e-06
materialized,Float64,8,false,4096,8,4096,4096,1.460504e-02,3.565684e-06
factored,Float64,8,false,4096,8,4096,4096,1.606183e-02,3.921346e-06
materialized,Float64,8,false,4096,64,1,64,1.446787e-02,3.532196e-06
factored,Float64,8,false,4096,64,1,64,1.631533e-02,3.983236e-06
materialized,Float64,8,false,4096,64,8,64,1.448833e-02,3.537191e-06
factored,Float64,8,false,4096,64,8,64,1.632663e-02,3.985992e-06
materialized,Float64,8,false,4096,64,64,64,1.444517e-02,3.526652e-06
factored,Float64,8,false,4096,64,64,64,1.633917e-02,3.989054e-06
materialized,Float64,8,false,4096,64,4096,4096,1.451663e-02,3.544098e-06
factored,Float64,8,false,4096,64,4096,4096,1.632258e-02,3.985006e-06
materialized,Float64,8,false,4096,4096,1,4096,1.447796e-02,3.534658e-06
factored,Float64,8,false,4096,4096,1,4096,1.633783e-02,3.988729e-06
materialized,Float64,8,false,4096,4096,8,4096,1.448808e-02,3.537130e-06
factored,Float64,8,false,4096,4096,8,4096,1.637283e-02,3.997274e-06
materialized,Float64,8,false,4096,4096,64,4096,1.449050e-02,3.537720e-06
factored,Float64,8,false,4096,4096,64,4096,1.638471e-02,4.000173e-06
materialized,Float64,8,false,4096,4096,4096,4096,1.448371e-02,3.536062e-06
factored,Float64,8,false,4096,4096,4096,4096,1.636233e-02,3.994710e-06
materialized,Float64,8,true,64,1,1,1,3.845420e-04,6.008469e-06
factored,Float64,8,true,64,1,1,1,6.198750e-04,9.685547e-06
materialized,Float64,8,true,64,1,8,8,3.848750e-04,6.013672e-06
factored,Float64,8,true,64,1,8,8,6.197500e-04,9.683594e-06
materialized,Float64,8,true,64,1,64,64,3.847500e-04,6.011719e-06
factored,Float64,8,true,64,1,64,64,6.197500e-04,9.683594e-06
materialized,Float64,8,true,64,8,1,8,3.865000e-04,6.039063e-06
