variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
materialized,batched_operator,Float64,8,4,false,1,1,false,7.989590e-07,7.989590e-07
factored,batched_operator,Float64,8,4,false,1,1,false,9.906670e-07,9.906670e-07
materialized,batched_operator,Float64,8,4,false,8,8,false,6.117920e-06,7.647400e-07
factored,batched_operator,Float64,8,4,false,8,8,false,7.673750e-06,9.592188e-07
materialized,batched_operator,Float64,8,4,false,64,64,false,4.837500e-05,7.558594e-07
factored,batched_operator,Float64,8,4,false,64,64,false,6.135420e-05,9.586594e-07
materialized,batched_operator,Float64,8,4,false,512,512,false,3.870420e-04,7.559414e-07
factored,batched_operator,Float64,8,4,false,512,512,false,4.867500e-04,9.506836e-07
materialized,batched_operator,Float64,8,4,false,4096,4096,false,3.105250e-03,7.581177e-07
factored,batched_operator,Float64,8,4,false,4096,4096,false,3.891500e-03,9.500732e-07
production_recurrence,recurrence,Float64,8,4,false,1,1,false,6.997910e-07,6.997910e-07
production_recurrence,recurrence,Float64,8,4,false,8,8,false,5.560410e-06,6.950512e-07
production_recurrence,recurrence,Float64,8,4,false,64,64,false,4.449160e-05,6.951812e-07
production_recurrence,recurrence,Float64,8,4,false,512,512,false,3.581660e-04,6.995430e-07
production_recurrence,recurrence,Float64,8,4,false,4096,2048,true,2.887000e-03,7.048340e-07
materialized,batched_operator,Float64,8,4,true,1,1,false,1.635000e-06,1.635000e-06
factored,batched_operator,Float64,8,4,true,1,1,false,2.972080e-06,2.972080e-06
materialized,batched_operator,Float64,8,4,true,8,8,false,1.257080e-05,1.571350e-06
factored,batched_operator,Float64,8,4,true,8,8,false,2.388330e-05,2.985413e-06
materialized,batched_operator,Float64,8,4,true,64,64,false,9.979170e-05,1.559245e-06
factored,batched_operator,Float64,8,4,true,64,64,false,1.868330e-04,2.919266e-06
materialized,batched_operator,Float64,8,4,true,512,512,false,7.979170e-04,1.558432e-06
factored,batched_operator,Float64,8,4,true,512,512,false,1.488791e-03,2.907795e-06
materialized,batched_operator,Float64,8,4,true,4096,4096,false,6.394916e-03,1.561259e-06
factored,batched_operator,Float64,8,4,true,4096,4096,false,1.193683e-02,2.914266e-06
production_recurrence,recurrence,Float64,8,4,true,1,1,false,9.337090e-07,9.337090e-07
production_recurrence,recurrence,Float64,8,4,true,8,8,false,7.459160e-06,9.323950e-07
production_recurrence,recurrence,Float64,8,4,true,64,64,false,5.969580e-05,9.327469e-07
production_recurrence,recurrence,Float64,8,4,true,512,512,false,4.768750e-04,9.313965e-07
production_recurrence,recurrence,Float64,8,4,true,4096,2048,true,3.820582e-03,9.327593e-07
materialized,batched_operator,Float64,8,8,false,1,1,false,3.515830e-06,3.515830e-06
factored,batched_operator,Float64,8,8,false,1,1,false,4.080000e-06,4.080000e-06
materialized,batched_operator,Float64,8,8,false,8,8,false,2.791250e-05,3.489063e-06
factored,batched_operator,Float64,8,8,false,8,8,false,3.226250e-05,4.032812e-06
materialized,batched_operator,Float64,8,8,false,64,64,false,2.247080e-04,3.511063e-06
factored,batched_operator,Float64,8,8,false,64,64,false,2.583340e-04,4.036469e-06
materialized,batched_operator,Float64,8,8,false,512,512,false,1.797958e-03,3.511637e-06
factored,batched_operator,Float64,8,8,false,512,512,false,2.061583e-03,4.026529e-06
materialized,batched_operator,Float64,8,8,false,4096,4096,false,1.443388e-02,3.523895e-06
factored,batched_operator,Float64,8,8,false,4096,4096,false,1.655667e-02,4.042155e-06
production_recurrence,recurrence,Float64,8,8,false,1,1,false,3.710420e-06,3.710420e-06
production_recurrence,recurrence,Float64,8,8,false,8,8,false,2.963750e-05,3.704687e-06
production_recurrence,recurrence,Float64,8,8,false,64,64,false,2.367920e-04,3.699875e-06
production_recurrence,recurrence,Float64,8,8,false,512,512,false,1.895041e-03,3.701252e-06
production_recurrence,recurrence,Float64,8,8,false,4096,2048,true,1.519475e-02,3.709656e-06
materialized,batched_operator,Float64,8,8,true,1,1,false,6.067080e-06,6.067080e-06
factored,batched_operator,Float64,8,8,true,1,1,false,1.055000e-05,1.055000e-05
materialized,batched_operator,Float64,8,8,true,8,8,false,4.821660e-05,6.027075e-06
factored,batched_operator,Float64,8,8,true,8,8,false,8.398750e-05,1.049844e-05
materialized,batched_operator,Float64,8,8,true,64,64,false,3.866670e-04,6.041672e-06
factored,batched_operator,Float64,8,8,true,64,64,false,6.722910e-04,1.050455e-05
materialized,batched_operator,Float64,8,8,true,512,512,false,3.091083e-03,6.037271e-06
factored,batched_operator,Float64,8,8,true,512,512,false,5.368250e-03,1.048486e-05
materialized,batched_operator,Float64,8,8,true,4096,4096,false,2.488796e-02,6.076162e-06
factored,batched_operator,Float64,8,8,true,4096,4096,false,4.334225e-02,1.058160e-05
production_recurrence,recurrence,Float64,8,8,true,1,1,false,4.789170e-06,4.789170e-06
production_recurrence,recurrence,Float64,8,8,true,8,8,false,3.830840e-05,4.788550e-06
production_recurrence,recurrence,Float64,8,8,true,64,64,false,3.063750e-04,4.787109e-06
production_recurrence,recurrence,Float64,8,8,true,512,512,false,2.449083e-03,4.783365e-06
production_recurrence,recurrence,Float64,8,8,true,4096,2048,true,1.962942e-02,4.792338e-06
materialized,batched_operator,Float64,8,12,false,1,1,false,1.010830e-05,1.010830e-05
factored,batched_operator,Float64,8,12,false,1,1,false,1.052090e-05,1.052090e-05
materialized,batched_operator,Float64,8,12,false,8,8,false,8.079580e-05,1.009948e-05
factored,batched_operator,Float64,8,12,false,8,8,false,8.326250e-05,1.040781e-05
materialized,batched_operator,Float64,8,12,false,64,64,false,6.479170e-04,1.012370e-05
factored,batched_operator,Float64,8,12,false,64,64,false,6.639580e-04,1.037434e-05
materialized,batched_operator,Float64,8,12,false,512,512,false,5.191834e-03,1.014030e-05
factored,batched_operator,Float64,8,12,false,512,512,false,5.302500e-03,1.035645e-05
materialized,batched_operator,Float64,8,12,false,4096,4096,false,4.186650e-02,1.022131e-05
factored,batched_operator,Float64,8,12,false,4096,4096,false,4.270192e-02,1.042527e-05
production_recurrence,recurrence,Float64,8,12,false,1,1,false,1.245410e-05,1.245410e-05
production_recurrence,recurrence,Float64,8,12,false,8,8,false,9.960410e-05,1.245051e-05
production_recurrence,recurrence,Float64,8,12,false,64,64,false,7.974580e-04,1.246028e-05
production_recurrence,recurrence,Float64,8,12,false,512,512,false,6.383750e-03,1.246826e-05
production_recurrence,recurrence,Float64,8,12,false,4096,2048,true,5.133533e-02,1.253304e-05
materialized,batched_operator,Float64,8,12,true,1,1,false,1.628750e-05,1.628750e-05
factored,batched_operator,Float64,8,12,true,1,1,false,2.565830e-05,2.565830e-05
materialized,batched_operator,Float64,8,12,true,8,8,false,1.288330e-04,1.610412e-05
factored,batched_operator,Float64,8,12,true,8,8,false,2.045000e-04,2.556250e-05
materialized,batched_operator,Float64,8,12,true,64,64,false,1.030500e-03,1.610156e-05
factored,batched_operator,Float64,8,12,true,64,64,false,1.608666e-03,2.513541e-05
materialized,batched_operator,Float64,8,12,true,512,512,false,8.266208e-03,1.614494e-05
factored,batched_operator,Float64,8,12,true,512,512,false,1.286512e-02,2.512720e-05
materialized,batched_operator,Float64,8,12,true,4096,4096,false,6.691683e-02,1.633712e-05
factored,batched_operator,Float64,8,12,true,4096,4096,false,1.040315e-01,2.539833e-05
production_recurrence,recurrence,Float64,8,12,true,1,1,false,1.537500e-05,1.537500e-05
production_recurrence,recurrence,Float64,8,12,true,8,8,false,1.229580e-04,1.536975e-05
production_recurrence,recurrence,Float64,8,12,true,64,64,false,9.842500e-04,1.537891e-05
production_recurrence,recurrence,Float64,8,12,true,512,512,false,7.875541e-03,1.538192e-05
production_recurrence,recurrence,Float64,8,12,true,4096,2048,true,6.327583e-02,1.544820e-05
materialized,batched_operator,Float64,8,20,false,1,1,false,4.618750e-05,4.618750e-05
factored,batched_operator,Float64,8,20,false,1,1,false,4.091250e-05,4.091250e-05
materialized,batched_operator,Float64,8,20,false,8,8,false,3.685000e-04,4.606250e-05
factored,batched_operator,Float64,8,20,false,8,8,false,3.276670e-04,4.095838e-05
materialized,batched_operator,Float64,8,20,false,64,64,false,2.947542e-03,4.605534e-05
factored,batched_operator,Float64,8,20,false,64,64,false,2.593083e-03,4.051692e-05
materialized,batched_operator,Float64,8,20,false,512,512,false,2.375908e-02,4.640446e-05
factored,batched_operator,Float64,8,20,false,512,512,false,2.061188e-02,4.025757e-05
materialized,batched_operator,Float64,8,20,false,4096,4096,false,1.909177e-01,4.661077e-05
factored,batched_operator,Float64,8,20,false,4096,4096,false,1.669368e-01,4.075606e-05
production_recurrence,recurrence,Float64,8,20,false,1,1,false,7.030830e-05,7.030830e-05
production_recurrence,recurrence,Float64,8,20,false,8,8,false,5.623750e-04,7.029688e-05
production_recurrence,recurrence,Float64,8,20,false,64,64,false,4.500542e-03,7.032097e-05
production_recurrence,recurrence,Float64,8,20,false,512,512,false,3.619129e-02,7.068612e-05
production_recurrence,recurrence,Float64,8,20,false,4096,2048,true,2.904018e-01,7.089889e-05
materialized,batched_operator,Float64,8,20,true,1,1,false,6.600410e-05,6.600410e-05
factored,batched_operator,Float64,8,20,true,1,1,false,9.448750e-05,9.448750e-05
materialized,batched_operator,Float64,8,20,true,8,8,false,5.266670e-04,6.583337e-05
factored,batched_operator,Float64,8,20,true,8,8,false,7.403340e-04,9.254175e-05
materialized,batched_operator,Float64,8,20,true,64,64,false,4.221916e-03,6.596744e-05
factored,batched_operator,Float64,8,20,true,64,64,false,5.867541e-03,9.168033e-05
materialized,batched_operator,Float64,8,20,true,512,512,false,3.387908e-02,6.617008e-05
factored,batched_operator,Float64,8,20,true,512,512,false,4.668558e-02,9.118278e-05
materialized,batched_operator,Float64,8,20,true,4096,4096,false,2.738932e-01,6.686847e-05
factored,batched_operator,Float64,8,20,true,4096,4096,false,3.726429e-01,9.097726e-05
production_recurrence,recurrence,Float64,8,20,true,1,1,false,8.149170e-05,8.149170e-05
production_recurrence,recurrence,Float64,8,20,true,8,8,false,6.520000e-04,8.150000e-05
production_recurrence,recurrence,Float64,8,20,true,64,64,false,5.218958e-03,8.154622e-05
production_recurrence,recurrence,Float64,8,20,true,512,512,false,4.191504e-02,8.186532e-05
production_recurrence,recurrence,Float64,8,20,true,4096,2048,true,3.368298e-01,8.223385e-05
