phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,31623,1,5,1,3,1.281127648,1.314658491,m12-2-9,2026-07-25T09:04:51Z
coarse,1,31623,1,10,1,3,0.891049532,0.899577484,m12-2-9,2026-07-25T09:04:55Z
coarse,1,31623,1,20,1,3,0.988384192,0.996081773,m12-2-9,2026-07-25T09:04:59Z
coarse,1,31623,1,40,1,3,1.282365303,1.286794304,m12-2-9,2026-07-25T09:05:04Z
coarse,1,31623,1,80,1,3,3.196601419,3.200038676,m12-2-9,2026-07-25T09:05:17Z
coarse,1,31623,1,160,1,3,3.32442123,3.325195732,m12-2-9,2026-07-25T09:05:30Z
coarse,1,31623,1,320,1,3,5.542584418,5.546756856,m12-2-9,2026-07-25T09:05:53Z
coarse,1,31623,1,640,1,3,7.263111243,7.26400961,m12-2-9,2026-07-25T09:06:22Z
coarse,1,31623,1,1280,1,3,7.257202382,7.261827621,m12-2-9,2026-07-25T09:06:51Z
coarse,1,31623,1,2560,1,3,7.259974129,7.260471043,m12-2-9,2026-07-25T09:07:20Z
coarse,1,31623,1,5120,1,3,7.252137014,7.255898661,m12-2-9,2026-07-25T09:07:49Z
coarse,1,31623,1,31623,1,3,7.257684465,7.259976612,m12-2-9,2026-07-25T09:08:18Z
refine,1,31623,1,5,1,5,1.302457688,1.306870398,m12-2-9,2026-07-25T09:08:26Z
refine,1,31623,1,10,1,5,0.887915252,0.943317324,m12-2-9,2026-07-25T09:08:31Z
refine,1,31623,1,15,1,5,0.863544608,0.874204254,m12-2-9,2026-07-25T09:08:37Z
refine,1,31623,1,20,1,5,0.983654843,0.986034684,m12-2-9,2026-07-25T09:08:43Z
