host,gpu,variant,precision,P,lh,n,ell,fit,note,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,dense_operator_bytes,dense_persistent_bytes,dense_estimated_peak_bytes,chunk,whole_pass,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-2,NVIDIA H200,concat,Float64,4,false,150,3,true,,1684,15216,0,0,0.0,26458.651744,134217728,207618048,0,0,0,16384,true,0.10422399645904079,0.6365439621731639,0.2840959932655096,0.6137280142866075,0.11020799865946174,80,4.587746,1241280,6.450759322540467e-9,3.4986016214308413e-7
m13h-1-2,NVIDIA H200,factored,Float64,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,839.286596,33554432,102760448,0,0,0,16384,true,0.10185599967371672,0.6066560163162649,0.056191998737631366,0.5894399946555495,0.10985600238200277,0,4.181862,1076368,6.450759322540467e-9,3.4986016214308413e-7
m13h-1-2,NVIDIA H200,precomputed_y,Float64,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,1242.280862,33554432,102760448,0,0,0,16384,true,0.10140799713553861,0.5991680081933737,0.042079998820554465,0.5847039865329862,0.11107199679827318,0,4.1208540000000005,1078768,6.450759322540467e-9,3.49860162150023e-7
m13h-1-2,NVIDIA H200,dense,Float64,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,954.556399,33554432,102760448,7920000,14569936,14569936,16384,true,0.10073599696625024,0.5986239993944764,20.060991868376732,0.6141759804449975,0.1108799988287501,14848,24.511941,2562240,6.450759343357149e-9,3.498601621396147e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float64,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,66.835533,33554432,102760448,7920000,14569936,14569936,16384,false,0.10089600255014375,0.604800006840378,27.088448405265808,0.5985599709674716,0.11078399984398857,14848,31.872375,3926784,6.450759343357149e-9,3.4986016215349247e-7
m13h-1-2,NVIDIA H200,dense,Float32,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,5887.276135,123731968,192937984,3960000,7333136,7333136,16384,true,0.0657600030535832,0.5915199872106314,19.28704045712948,0.581184052862227,0.08662399341119453,7424,23.960721,2557312,2.740033408499265e-8,8.553542014677618e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float32,4,false,150,3,true,,1684,15216,928,7,1.8146551724137931,790.613637,33554432,102760448,3960000,7333136,7333136,16384,false,0.0655999974696897,0.5836160271428525,26.88739262521267,0.5806080298498273,0.08681599865667522,7424,31.264326,3921856,2.8227281054227227e-8,8.553542014677618e-7
m13h-1-2,NVIDIA H200,concat,Float64,4,true,150,3,true,,1122,16302,0,0,0.0,1200.860313,167772160,236978176,0,0,0,16384,true,0.08086399611784145,1.388799981214106,0.5920639960095286,1.363168004900217,0.12880000576842576,160,6.514133,1586920,NaN,1.4429127450504842e-7
m13h-1-2,NVIDIA H200,factored,Float64,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,383.876897,67108864,136314880,0,0,0,16384,true,0.07961600203998387,1.3039360055699944,0.12588800746016204,1.2779840035364032,0.12694401084445417,0,5.7219690000000005,1375584,NaN,1.4429127450504842e-7
m13h-1-2,NVIDIA H200,precomputed_y,Float64,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,397.726836,67108864,136314880,0,0,0,16384,true,0.07929599814815447,1.2981760082766414,0.10108800051966682,1.2819200055673718,0.12703999527730048,0,5.6687140000000005,1376432,NaN,1.4429127450504842e-7
m13h-1-2,NVIDIA H200,dense,Float64,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,1138.505536,67108864,169869312,40722624,56808880,56808880,16384,true,0.07939200440887362,1.3009599642828107,14.736960642039776,1.2879360001534224,0.12675199832301587,11136,20.810378,2466240,NaN,1.442912745189262e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float64,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,278.781665,67108864,169869312,40722624,56808880,56808880,16384,false,0.07897599425632507,1.2991039548069239,21.053247153759003,1.283808029256761,0.12675199832301587,11136,27.318865000000002,3711680,NaN,1.4429127450504842e-7
m13h-1-2,NVIDIA H200,dense,Float32,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,5052.053965,33554432,136314880,20361312,28452176,28452176,16384,true,0.05235199932940304,1.2706560082733631,14.891584403812885,1.25801598187536,0.10153599578188732,5568,20.310114000000002,2457616,NaN,1.198984422412508e-6
m13h-1-2,NVIDIA H200,dense_perclass,Float32,4,true,150,3,true,,1122,16302,696,5,1.6120689655172413,2832.573969,33554432,136314880,20361312,28452176,28452176,16384,false,0.05196799975237809,1.2596480082720518,20.78867144882679,1.2451200745999813,0.10086400288855657,5568,26.172915,3703056,NaN,1.2585890671878985e-6
m13h-1-2,NVIDIA H200,concat,Float64,8,false,150,3,true,,11900,5000,0,0,0.0,8.898671,167772160,236978176,0,0,0,16384,true,0.550016004126519,0.6248639547266066,0.29664000612683594,0.6106560467742383,0.5612479872070253,80,4.936791,1241568,3.546098414908272e-10,2.5811966911093442e-8
m13h-1-2,NVIDIA H200,factored,Float64,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,11.187132,67108864,136314880,0,0,0,16384,true,0.5508800386451185,0.6173760048113763,0.17417599156033248,0.5980479763820767,0.5608639912679791,0,4.680186,1171872,3.546098414908272e-10,2.5811966931910124e-8
m13h-1-2,NVIDIA H200,precomputed_y,Float64,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,33.541273,100663296,169869312,0,0,0,16384,true,0.5487999878823757,0.6201919750310481,0.1128959993366152,0.6105600041337311,0.5613440298475325,0,4.702848,1174272,3.546098276130394e-10,2.5811966931910124e-8
m13h-1-2,NVIDIA H200,dense,Float64,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,1761.0044,201326592,304087040,163972512,185308672,185308672,16384,true,0.5493760108947754,0.6107199587859213,58.5828460752964,0.6180800264701247,0.5626239581033587,40096,62.387423999999996,5233040,3.546098414908272e-10,2.5811966883337867e-8
m13h-1-2,NVIDIA H200,dense_perclass,Float64,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,1768.410819,201326592,304087040,163972512,185308672,185308672,16384,false,0.5492159980349243,0.6240959628485143,80.43436706066132,0.6077439757063985,0.5612479872070253,40096,85.726135,8920400,3.546098414908272e-10,2.5811966876398973e-8
m13h-1-2,NVIDIA H200,dense,Float32,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,24277.05184,100663296,203423744,81986256,92705584,92705584,16384,true,0.36272002034820616,0.6224960088729858,53.675584495067596,0.6147199892438948,0.40694401832297444,20048,58.715349,5228112,2.754104168334326e-8,4.822928190706399e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float32,8,false,150,3,true,,11900,5000,2506,20,4.748603351955308,24291.69025,100663296,203423744,81986256,92705584,92705584,16384,false,0.36259202170185745,0.6229119608178735,71.9827190041542,0.5941119743511081,0.40646400884725153,20048,76.660725,8915472,2.754104168334326e-8,4.822928190706399e-7
m13h-1-2,NVIDIA H200,concat,Float64,8,true,150,3,true,,12880,5076,0,0,0.0,11.952868,436207616,505413632,0,0,0,16384,true,0.38249598583206534,1.3206719886511564,0.6218879716470838,1.3142080279067159,0.5643200129270554,160,6.69529,1587472,NaN,1.805270429325323e-8
m13h-1-2,NVIDIA H200,factored,Float64,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,14.437817,167772160,236978176,0,0,0,16384,true,0.3821119898930192,1.3193599879741669,0.4640640108846128,1.3074239250272512,0.5641920142807066,0,6.2421120000000005,1473312,NaN,1.805270429325323e-8
m13h-1-2,NVIDIA H200,precomputed_y,Float64,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,44.695709,167772160,236978176,0,0,0,16384,true,0.3823360020760447,1.348351943306625,0.2876479993574321,1.320415991358459,0.5648000515066087,0,6.280468,1474160,NaN,1.805270429325323e-8
m13h-1-2,NVIDIA H200,dense,Float64,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,6982.803937,905969664,1008730112,818762912,866313472,866313472,16384,true,0.38281598244793713,1.32556795142591,61.39833480119705,1.362720038741827,0.5643200129270554,41792,68.87726099999999,5690848,NaN,1.805270429325323e-8
m13h-1-2,NVIDIA H200,dense_perclass,Float64,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,6974.238074,905969664,1008730112,818762912,866313472,866313472,16384,false,0.38236798718571663,1.328864018432796,87.40855008363724,1.3682880671694875,0.5657600122503936,41792,94.22399,10369744,NaN,1.805270428804906e-8
m13h-1-2,NVIDIA H200,dense,Float32,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,78450.998484,469762048,538968064,409381456,433207984,433207984,16384,true,0.25568000273779035,1.3960640644654632,62.878429889678955,1.3486399548128247,0.4024960217066109,20896,70.6061,5682208,NaN,3.243578038936157e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float32,8,true,150,3,true,,12880,5076,2612,21,4.931087289433385,78236.675067,469762048,538968064,409381456,433207984,433207984,16384,false,0.25577598717063665,1.4033919433131814,86.84685081243515,1.3454400468617678,0.40288001764565706,20896,96.059991,10361120,NaN,3.243578038936157e-7
m13h-1-2,NVIDIA H200,concat,Float64,12,false,150,3,true,,15172,2252,0,0,0.0,27.14077,369098752,438304768,0,0,0,16384,true,1.9294079393148422,0.6231999723240733,0.6545280339196324,0.6039360305294394,1.9851839169859886,80,6.893205,1326336,2.3325924525252617e-11,4.675267686882201e-9
m13h-1-2,NVIDIA H200,factored,Float64,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,37.419673,167772160,236978176,0,0,0,16384,true,1.9289599731564522,0.617056037299335,0.46956801088526845,0.603680033236742,1.9856318831443787,0,6.763321,1256640,2.3325938403040425e-11,4.675267679943307e-9
m13h-1-2,NVIDIA H200,precomputed_y,Float64,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,119.781682,167772160,236978176,0,0,0,16384,true,1.9280320266261697,0.6284799892455339,0.2668479864951223,0.6201919750310481,1.9860160537064075,0,6.5539309999999995,1259040,2.3325938403040425e-11,4.675267686882201e-9
m13h-1-2,NVIDIA H200,dense,Float64,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,10925.32508,805306368,941621248,749897616,794303080,794303080,16384,true,1.927679986692965,0.6158720352686942,63.981570303440094,0.6146240048110485,1.9859198946505785,43456,71.539647,5660512,2.3325938403040425e-11,4.675267686882201e-9
