kernel,variant,precision,n,reps,median_s,min_s,h2d_s,d2h_s,pairs_per_s,gflops_nominal,jobid
uj,naive,f64,100,5,1.280970e-04,1.272610e-04,2.8343e-04,8.8065e-05,7.8066e+07,6.1,13246033
uj,tiled,f64,100,5,1.149660e-04,1.148560e-04,2.8343e-04,8.8065e-05,8.6982e+07,6.8,13246033
ujsfs,naive,f64,100,5,1.967090e-04,1.955950e-04,2.8343e-04,8.8065e-05,5.0837e+07,5.3,13246033
ujsfs,tiled,f64,100,5,1.366310e-04,1.363180e-04,2.8343e-04,8.8065e-05,7.3190e+07,7.6,13246033
uj,naive,f32,100,5,8.095000e-05,8.004800e-05,5.1332e-05,8.3071e-05,1.2353e+08,9.6,13246033
uj,tiled,f32,100,5,6.982500e-05,6.912500e-05,5.1332e-05,8.3071e-05,1.4322e+08,11.2,13246033
ujsfs,naive,f32,100,5,1.218020e-04,1.208120e-04,5.1332e-05,8.3071e-05,8.2100e+07,8.5,13246033
ujsfs,tiled,f32,100,5,7.934600e-05,7.900800e-05,5.1332e-05,8.3071e-05,1.2603e+08,13.1,13246033
uj,naive,f64,316,5,4.403790e-04,4.377280e-04,1.6605e-04,4.9827e-05,2.2675e+08,17.7,13246033
uj,tiled,f64,316,5,3.741380e-04,3.739130e-04,1.6605e-04,4.9827e-05,2.6690e+08,20.8,13246033
ujsfs,naive,f64,316,5,6.232160e-04,6.195290e-04,1.6605e-04,4.9827e-05,1.6023e+08,16.7,13246033
ujsfs,tiled,f64,316,5,4.335770e-04,4.322340e-04,1.6605e-04,4.9827e-05,2.3031e+08,24.0,13246033
uj,naive,f32,316,5,2.639980e-04,2.635610e-04,4.2442e-05,4.7407e-05,3.7825e+08,29.5,13246033
uj,tiled,f32,316,5,2.205760e-04,2.188980e-04,4.2442e-05,4.7407e-05,4.5271e+08,35.3,13246033
ujsfs,naive,f32,316,5,3.849130e-04,3.838230e-04,4.2442e-05,4.7407e-05,2.5942e+08,27.0,13246033
ujsfs,tiled,f32,316,5,2.426510e-04,2.418140e-04,4.2442e-05,4.7407e-05,4.1152e+08,42.8,13246033
uj,naive,f64,1000,5,1.531959e-03,1.526912e-03,4.2768e-05,5.2982e-05,6.5276e+08,50.9,13246033
uj,tiled,f64,1000,5,1.310738e-03,1.309691e-03,4.2768e-05,5.2982e-05,7.6293e+08,59.5,13246033
ujsfs,naive,f64,1000,5,2.128680e-03,2.127760e-03,4.2768e-05,5.2982e-05,4.6977e+08,48.9,13246033
ujsfs,tiled,f64,1000,5,1.487811e-03,1.485442e-03,4.2768e-05,5.2982e-05,6.7213e+08,69.9,13246033
uj,naive,f32,1000,5,8.958610e-04,8.945390e-04,4.5119e-05,4.7978e-05,1.1162e+09,87.1,13246033
uj,tiled,f32,1000,5,7.525580e-04,7.520270e-04,4.5119e-05,4.7978e-05,1.3288e+09,103.6,13246033
ujsfs,naive,f32,1000,5,1.265536e-03,1.263089e-03,4.5119e-05,4.7978e-05,7.9018e+08,82.2,13246033
ujsfs,tiled,f32,1000,5,8.158840e-04,8.127850e-04,4.5119e-05,4.7978e-05,1.2257e+09,127.5,13246033
uj,naive,f64,3162,5,4.547191e-03,4.544324e-03,4.7784e-05,6.8040e-05,2.1988e+09,171.5,13246033
uj,tiled,f64,3162,5,3.850607e-03,3.845797e-03,4.7784e-05,6.8040e-05,2.5965e+09,202.5,13246033
ujsfs,naive,f64,3162,5,6.480270e-03,6.474928e-03,4.7784e-05,6.8040e-05,1.5429e+09,160.5,13246033
ujsfs,tiled,f64,3162,5,4.400085e-03,4.397577e-03,4.7784e-05,6.8040e-05,2.2723e+09,236.3,13246033
uj,naive,f32,3162,5,2.664075e-03,2.660509e-03,6.6854e-05,5.7628e-05,3.7530e+09,292.7,13246033
uj,tiled,f32,3162,5,2.197443e-03,2.196533e-03,6.6854e-05,5.7628e-05,4.5499e+09,354.9,13246033
ujsfs,naive,f32,3162,5,3.841308e-03,3.839430e-03,6.6854e-05,5.7628e-05,2.6028e+09,270.7,13246033
ujsfs,tiled,f32,3162,5,2.385175e-03,2.380954e-03,6.6854e-05,5.7628e-05,4.1918e+09,436.0,13246033
uj,naive,f64,10000,5,1.369361e-02,1.369270e-02,7.6118e-05,1.3109e-04,7.3027e+09,569.6,13246033
uj,tiled,f64,10000,5,1.133986e-02,1.133930e-02,7.6118e-05,1.3109e-04,8.8185e+09,687.8,13246033
ujsfs,naive,f64,10000,5,1.987509e-02,1.987347e-02,7.6118e-05,1.3109e-04,5.0314e+09,523.3,13246033
ujsfs,tiled,f64,10000,5,1.306986e-02,1.306788e-02,7.6118e-05,1.3109e-04,7.6512e+09,795.7,13246033
uj,naive,f32,10000,5,8.031464e-03,8.029365e-03,1.0812e-04,8.3721e-05,1.2451e+10,971.2,13246033
uj,tiled,f32,10000,5,6.529626e-03,6.527828e-03,1.0812e-04,8.3721e-05,1.5315e+10,1194.6,13246033
ujsfs,naive,f32,10000,5,1.174580e-02,1.174532e-02,1.0812e-04,8.3721e-05,8.5137e+09,885.4,13246033
ujsfs,tiled,f32,10000,5,7.104450e-03,7.101563e-03,1.0812e-04,8.3721e-05,1.4076e+10,1463.9,13246033
uj,naive,f64,31623,5,4.082110e-02,4.081972e-02,1.7915e-04,2.6736e-04,2.4497e+10,1910.8,13246033
uj,tiled,f64,31623,5,3.653796e-02,3.653684e-02,1.7915e-04,2.6736e-04,2.7369e+10,2134.8,13246033
ujsfs,naive,f64,31623,5,6.064880e-02,6.064437e-02,1.7915e-04,2.6736e-04,1.6489e+10,1714.8,13246033
ujsfs,tiled,f64,31623,5,4.237762e-02,4.237309e-02,1.7915e-04,2.6736e-04,2.3598e+10,2454.2,13246033
