host,gpu,variant,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-1,NVIDIA H200,concat,4,false,150,3,1684,15216,0,0,0.0,27016.460448,134217728,207618048,0.10460799967404455,0.6336960359476507,0.26940798852592707,0.5977280088700354,0.11056000221287832,80,4.356214,1243704,6.450759315601573e-9,3.4986016214308413e-7
m13h-1-1,NVIDIA H200,factored,4,false,150,3,1684,15216,928,7,1.8146551724137931,679.755656,33554432,102760448,0.10099200153490528,0.6285439594648778,30.486784875392914,0.6134080467745662,0.10956799815176055,0,76.051648,50011712,6.450759322540467e-9,3.4986016213614524e-7
m13h-1-1,NVIDIA H200,concat,4,true,150,3,1122,16302,0,0,0.0,1129.295089,167772160,236978176,0.07916799950180575,1.2879680143669248,0.5455680075101554,1.2738240184262395,0.12787200103048235,160,6.0467699999999995,1585120,NaN,1.442912745189262e-7
m13h-1-1,NVIDIA H200,factored,4,true,150,3,1122,16302,696,5,1.6120689655172413,415.347221,33554432,102760448,0.07900800119386986,1.293887966312468,66.61725044250488,1.3379199663177133,0.1282559969695285,0,110.886972,54045344,NaN,1.442912745119873e-7
m13h-1-1,NVIDIA H200,concat,8,false,150,3,11900,5000,0,0,0.0,9.467491,167772160,236978176,0.5489599425345659,0.6154239526949823,0.28668800950981677,0.6075199926272035,0.561375985853374,80,4.878889,1241568,3.546098276130394e-10,2.581196692497123e-8
m13h-1-1,NVIDIA H200,factored,8,false,150,3,11900,5000,2506,20,4.748603351955308,181.064917,67108864,136314880,0.5508800386451185,0.6127679953351617,82.75458961725235,0.6277760257944465,0.5617919960059226,0,194.189265,133881712,3.546098414908272e-10,2.5811966931910124e-8
m13h-1-1,NVIDIA H200,concat,8,true,150,3,12880,5076,0,0,0.0,12.441926,436207616,505413632,0.3822399885393679,1.3205759460106492,0.6175680318847299,1.2923839967697859,0.5652160034514964,160,6.680493,1587472,NaN,1.8052704289783783e-8
m13h-1-1,NVIDIA H200,factored,8,true,150,3,12880,5076,2612,21,4.931087289433385,304.790778,100663296,169869312,0.3827199980150908,1.392384059727192,252.14233994483948,1.3187520671635866,0.5651519750244915,0,367.47758899999997,173571968,NaN,1.8052704289783783e-8
m13h-1-1,NVIDIA H200,concat,12,false,150,3,15172,2252,0,0,0.0,26.736733,369098752,438304768,1.9288959447294474,0.6249920115806162,0.6536319851875305,0.6036480190232396,1.990143908187747,80,6.896092,1326336,2.3325924525252617e-11,4.675267693821095e-9
m13h-1-1,NVIDIA H200,factored,12,false,150,3,15172,2252,2716,26,5.5861561119293075,275.484956,100663296,169869312,1.9282239954918623,0.638719997368753,119.04694139957428,0.6058560102246702,1.9864959176629782,0,269.367838,175168032,2.3325938403040425e-11,4.675267679943307e-9
