P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,8,150,1684,0,0,0.0,1251.229959,50850344,2.4720625,6032,4.4264790000000005,127984
4,false,factored_optimized,8,150,1684,928,7,1.8146551724137931,106.492125,10603208,2.5266045000000004,1440,4.3215415,18032
4,true,concat,8,150,1122,0,0,0.0,472.590833,144813032,4.2385205,11840,7.003208,142192
4,true,factored_optimized,8,150,1122,696,5,1.6120689655172413,126.041166,11588872,4.149771,1440,6.799562,25808
8,false,concat,8,150,11900,0,0,0.0,93.305917,163676072,58.19381249999999,6032,64.923,22128
8,false,factored_optimized,8,150,11900,2506,20,4.748603351955308,121.993625,31184712,69.2548755,1440,82.0632085,18032
8,true,concat,8,150,12880,0,0,0.0,103.097875,430035944,145.1944795,11840,157.30562500000002,35712
8,true,factored_optimized,8,150,12880,2612,21,4.931087289433385,17.746,45870184,168.983604,1440,181.2264165,25808
12,false,concat,8,150,15172,0,0,0.0,191.199,343275880,179.593875,6032,292.0820835,22128
12,false,factored_optimized,8,150,15172,2716,26,5.5861561119293075,48.90575,56007016,222.209313,1440,287.05449999999996,18032
12,true,concat,8,150,12382,0,0,0.0,219.436625,872486504,345.8866875,11840,775.8996460000001,35712
12,true,factored_optimized,8,150,12382,2490,24,4.972690763052209,97.228333,92765736,407.58245850000003,1440,585.207062,25808
