job,workload,kernel,precision,n,pairs,blocks,median_ms,min_ms,max_ms
13058240,scalar-h4,hardcoded,Float32,1000000,1729144,16384,3.825184190645814,3.8143040146678686,3.834592178463936
13058240,scalar-h4,functor_singular,Float32,1000000,1729144,16384,3.826271975412965,3.818975994363427,3.8356799632310867
13058240,scalar-h13,hardcoded,Float32,1000000,1729144,16384,9.597248397767544,9.576895274221897,9.61113628000021
13058240,scalar-h13,functor_singular,Float32,1000000,1729144,16384,9.97241586446762,9.939935989677906,10.003072209656239
13058240,scalar-h4,hardcoded,Float64,1000000,1729144,16384,10.976959951221943,10.95935981720686,11.010912247002125
13058240,scalar-h4,functor_singular,Float64,1000000,1729144,16384,10.843776166439056,10.821823962032795,10.876031592488289
13058240,scalar-h13,hardcoded,Float64,1000000,1729144,16384,15.382399782538414,15.353407710790634,15.420287847518921
13058240,scalar-h13,functor_singular,Float64,1000000,1729144,16384,16.8519988656044,16.81404933333397,16.88028685748577
13058240,vortex-h13,hardcoded_vortex,Float32,1000000,570272,16384,129.64579463005066,129.5539289712906,129.7275871038437
13058240,vortex-h13,functor_singular_vortex,Float32,1000000,570272,16384,114.2747774720192,114.21199887990952,114.47782069444656
13058240,vortex-h13,regularized_erffree,Float32,1000000,570272,16384,190.19339978694916,189.79918956756592,190.48374891281128
13058240,vortex-h13,regularized_customerf,Float32,1000000,570272,16384,284.8471403121948,284.4586372375488,286.2217128276825
13058240,vortex-h13,hardcoded_vortex,Float64,1000000,570272,16384,239.2413765192032,239.08261954784393,239.38415944576263
13058240,vortex-h13,functor_singular_vortex,Float64,1000000,570272,16384,227.41398215293884,227.24412381649017,227.8107851743698
13058240,vortex-h13,regularized_erffree,Float64,1000000,570272,16384,432.5978755950928,432.23726749420166,433.0333173274994
13058240,vortex-h13,regularized_customerf,Float64,1000000,570272,16384,663.3452773094177,662.7942323684692,664.8805141448975
