level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,-3:-3:-3,3:3:3,1,13,689.2243632052567:659.376283295409:178.78527125789267:120.48857860768128:81.33685081526608:12.93611432591114:11.937347952091402:3.835091138204046:3.148264592812301:1.3992223544468585:0.5638112417688036:0.349066578527798:0.2887600341692347:0.07071434140396132:0.045764332443799176:0.02909954485939816,0.005304984251541297
2,6,6,-2:-3:-3,3:3:2,2,13,1155.0106200519597:1100.6508402792506:367.09176616558074:256.08259641708986:168.119971299961:30.93727786184259:29.044796185007616:5.490347158203086:4.750447290877249:2.2748772210780395:0.7318998631518923:0.6393409018457462:0.47715856298309844:0.0976518838723917:0.06775339998454136:0.0382136757597022,0.004613080225583572
2,6,6,-1:-3:-3,3:3:1,3,13,1614.4136127109998:1548.3872969471493:609.3213810930688:440.7599885739291:282.7793713031999:59.67379154506713:56.91631253286754:7.088907938752285:6.277625033509511:3.1807500710279797:1.0022622674696176:0.9974775764314635:0.6180296561632888:0.12279841399698503:0.08949547287567698:0.04607103946742672,0.00425039793198299
2,6,6,0:-3:-3,3:3:0,4,13,1810.8592812624013:1747.0864218221016:729.9706464413553:538.5326519542748:343.4485612891741:76.70398490101392:73.620139610838:7.790302478523356:6.928259282555718:3.5829928686357535:1.1881436462567756:1.1543284096237834:0.6624370491833923:0.1335798628965351:0.09913051496460153:0.04928656624370749,0.004138331609494362
2,6,6,1:-3:-3,3:3:1,3,13,1614.4136127109973:1548.3872969471488:609.3213810930687:440.75998857392887:282.7793713032002:59.67379154506719:56.91631253286751:7.088907938752318:6.277625033509529:3.1807500710279504:1.002262267469632:0.9974775764314779:0.6180296561633146:0.1227984139969886:0.08949547287572225:0.04607103946741346,0.004250397931983007
2,6,6,2:-3:-3,3:3:2,2,13,1155.01062005196:1100.6508402792504:367.09176616558085:256.08259641709003:168.11997129996104:30.937277861842528:29.044796185007616:5.490347158203075:4.750447290877254:2.2748772210780404:0.7318998631518834:0.6393409018457346:0.47715856298309434:0.09765188387238814:0.06775339998453564:0.03821367575972602,0.004613080225583568
2,6,6,3:-3:-3,3:3:3,1,13,689.2243632052564:659.3762832954089:178.78527125789276:120.48857860768125:81.3368508152661:12.93611432591109:11.937347952091402:3.835091138204048:3.1482645928122994:1.3992223544468625:0.563811241768801:0.34906657852780026:0.2887600341692452:0.07071434140395191:0.045764332443818646:0.029099544859388767,0.005304984251541301
2,6,6,-3:-2:-3,3:3:2,2,13,1155.0106200519601:1100.6508402792506:367.09176616558096:256.0825964170899:168.119971299961:30.93727786184262:29.044796185007655:5.490347158203055:4.750447290877274:2.2748772210780195:0.7318998631518816:0.6393409018457487:0.4771585629830941:0.0976518838723901:0.06775339998453132:0.0382136757597215,0.004613080225583563
2,6,6,-2:-2:-3,3:2:2,4,12,2033.1778392565532:1979.936528634598:877.9822387721708:665.3028674666423:423.04806222256576:100.63267264745004:97.23510568261845:8.609830624215189:7.667559354663377:4.049602976825261:1.4264647713002612:1.3652314674732033:0.7061011488622494:0.14598145991528183:0.11043224747687272:0.052887365088386984,0.00403019312981227
2,6,6,-1:-2:-3,3:2:1,6,12,2998.575780277279:2874.474124648094:1512.1527215173335:1348.7074319918938:892.263014970471:268.5274681236109:264.79410108190166:12.125696099712341:10.535412543779437:5.942159398877134:2.727595114621679:2.5935447414447257:0.8440548457070459:0.1971098851304235:0.15943423088382633:0.06681765106729443,0.003718256029500438
2,6,6,0:-2:-3,3:2:0,8,12,3510.1868610325437:3214.3092442344364:1773.3263831813354:1747.5686242932416:1211.094869496893:402.9798615798228:399.54830753047867:13.808577423559605:11.737423437962047:6.787741238576051:3.5406561393360394:3.391815867050903:0.8954832993176325:0.22094418741012017:0.18363886893910256:0.0728991012877452,0.0036105893691013367
2,6,6,1:-2:-3,3:2:1,6,12,2998.5757802772787:2874.474124648093:1512.1527215173326:1348.7074319918945:892.263014970471:268.527468123611:264.7941010819012:12.125696099712384:10.535412543779453:5.942159398877111:2.727595114621726:2.5935447414449087:0.8440548457070806:0.19710988513031125:0.15943423088384764:0.0668176510671628,0.003718256029500453
2,6,6,2:-2:-3,3:2:2,4,12,2033.177839256554:1979.9365286345978:877.982238772171:665.3028674666423:423.0480622225656:100.63267264745036:97.2351056826185:8.609830624215196:7.667559354663361:4.049602976825267:1.426464771300231:1.3652314674731845:0.7061011488622254:0.145981459915193:0.11043224747691333:0.0528873650884127,0.0040301931298122665
2,6,6,3:-2:-3,3:3:2,2,13,1155.0106200519597:1100.6508402792504:367.09176616558074:256.08259641709014:168.11997129996092:30.937277861842453:29.044796185007645:5.490347158203067:4.7504472908772595:2.2748772210780275:0.7318998631518838:0.6393409018457702:0.4771585629830855:0.09765188387238567:0.06775339998454524:0.03821367575968622,0.004613080225583567
2,6,6,-3:-1:-3,3:3:1,3,13,1614.4136127109978:1548.3872969471493:609.3213810930688:440.75998857392875:282.7793713032002:59.6737915450671:56.91631253286751:7.088907938752311:6.277625033509505:3.1807500710279695:1.0022622674696238:0.9974775764314632:0.6180296561632682:0.12279841399696328:0.08949547287572168:0.04607103946740566,0.004250397931982997
2,6,6,-2:-1:-3,3:2:1,6,12,2998.5757802772805:2874.474124648095:1512.152721517333:1348.7074319918945:892.2630149704706:268.52746812361096:264.7941010819015:12.125696099712409:10.535412543779437:5.94215939887719:2.727595114621741:2.5935447414447577:0.8440548457070525:0.1971098851303788:0.15943423088381956:0.06681765106726063,0.003718256029500454
2,6,6,-1:-1:-3,3:1:1,9,12,4898.448181304325:3966.761679679735:2980.040971357387:2496.9669320016305:2302.989752100345:1103.4405098078298:1100.4467770007163:18.091898760734253:14.470880272818883:9.090062035917496:6.599661883453446:6.46891692841224:1.0088258082235777:0.2855497476030234:0.2542922765474756:0.08837298566792115,0.0033586685364146453
2,6,6,0:-1:-3,3:1:0,12,12,5668.838577639551:4366.996379598617:3836.245209872998:3608.305026505277:2718.3891891687845:2115.2365852038433:2109.16947657201:20.167704780953162:15.911909433009024:11.044354193962603:9.650833227487817:9.554831178555952:1.0680733108811662:0.3304045986941724:0.30875480593214494:0.09841150721661338,0.0031872871757597605
2,6,6,1:-1:-3,3:1:1,9,12,4898.448181304328:3966.7616796797356:2980.0409713573854:2496.9669320016296:2302.989752100345:1103.4405098078298:1100.4467770007168:18.091898760734228:14.470880272818734:9.090062035917557:6.599661883453401:6.468916928412253:1.0088258082235437:0.2855497476029031:0.254292276547366:0.08837298566763736,0.0033586685364146323
2,6,6,2:-1:-3,3:2:1,6,12,2998.575780277279:2874.474124648095:1512.1527215173326:1348.7074319918938:892.2630149704705:268.5274681236109:264.7941010819014:12.125696099712368:10.535412543779467:5.942159398877152:2.7275951146217494:2.5935447414447887:0.8440548457070851:0.19710988513040079:0.15943423088383918:0.0668176510672297,0.0037182560295004508
2,6,6,3:-1:-3,3:3:1,3,13,1614.4136127109975:1548.3872969471488:609.3213810930688:440.75998857392875:282.7793713031999:59.67379154506723:56.9163125328675:7.088907938752338:6.277625033509533:3.1807500710279206:1.0022622674696031:0.9974775764315005:0.6180296561632912:0.12279841399698091:0.0894954728756811:0.046071039467399336,0.0042503979319830085
2,6,6,-3:0:-3,3:3:0,4,13,1810.8592812624024:1747.0864218221013:729.970646441355:538.5326519542747:343.4485612891743:76.70398490101397:73.62013961083797:7.790302478523352:6.928259282555689:3.5829928686357606:1.1881436462567816:1.1543284096238036:0.6624370491833778:0.13357986289654128:0.09913051496456876:0.049286566243747054,0.004138331609494356
