idx,label,case,n,kernel,speedup,gatepass,uj_ms
1,cu5-tp-l4q6,cube,100000,twopass,0.95,0,11.89
2,cu5-tp-l4q4-p5,cube,100000,twopass,1.261,0,8.97
3,cu5-tp-l4q4-p6,cube,100000,twopass,0.889,0,12.72
4,cu5-tp-l5q12,cube,100000,twopass,0.163,0,69.41
5,cu5-tp-l5q16,cube,100000,twopass,0.139,1,81.39
6,cu6-tp-l5q6,cube,1000000,twopass,1.035,0,98.79
7,cu6-tp-l5q4-p5,cube,1000000,twopass,1.527,0,67.0
8,cu6-tp-l5q4-p6,cube,1000000,twopass,1.2,0,85.23
9,cu6-tp-l6q12,cube,1000000,twopass,0.169,0,603.89
10,cu6-tp-l6q16,cube,1000000,twopass,0.149,1,688.47
11,wa5-tp-l5q3-p6,wake,100000,twopass,0.73,0,10.75
12,wa5-tp-l5q4-p5,wake,100000,twopass,0.848,0,9.26
13,wa5-tp-l5q4-p6,wake,100000,twopass,0.682,1,11.51
14,wa5-tp-l6q6,wake,100000,twopass,0.453,1,17.32
15,wa5-tp-l6q6-r34,wake,100000,twopass,0.456,1,17.2
16,wa5-tp-l6q6-r32,wake,100000,twopass,0.48,1,16.35
17,wa5-tp-l6q9,wake,100000,twopass,0.413,1,19.0
18,wa6-tp-l6q4-p5,wake,1000000,twopass,1.022,0,81.81
19,wa6-tp-l7q6,wake,1000000,twopass,0.629,1,133.0
20,wa6-tp-l7q6-r34,wake,1000000,twopass,0.658,1,127.06
21,wa6-tp-l7q6-r30,wake,1000000,twopass,0.74,1,112.92
22,wa6-tp-l7q9,wake,1000000,twopass,0.577,1,144.93
23,ro5-pa-l6q6,rotor,100000,partitioned,1.811,1,6.99
24,ro5-pa-l7q6,rotor,100000,partitioned,1.595,1,7.94
25,ro5-tp-l7q6,rotor,100000,twopass,1.483,1,8.54
26,ro5-tp-l7q6-r34,rotor,100000,twopass,1.524,1,8.31
27,ro5-tp-l7q4,rotor,100000,twopass,1.962,0,6.45
28,ro6-pa-l7q6,rotor,1000000,partitioned,3.547,1,67.3
29,ro6-pa-l8q6,rotor,1000000,partitioned,7.164,1,33.32
30,ro6-tp-l8q6,rotor,1000000,twopass,5.802,1,41.14
31,ro6-tp-l8q6-r34,rotor,1000000,twopass,5.92,1,40.33
32,ro6-tp-l7q6,rotor,1000000,twopass,2.816,1,84.78
