# 024 raw, cuda H200 eligible rows, Float64 P=12; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
7.814291,1.476019306778653e-11
7.939355,1.476019306778653e-11
8.012928,1.476019306778653e-11
8.262416,1.476019306778653e-11
8.707146,nan
8.719129,nan
9.408581,nan
9.511564,nan
20.520627,1.1781048359083002e-11
21.477309,1.1781020603507386e-11
23.484918,1.1781048359083002e-11
25.595155,1.1781048359083002e-11
25.970867,nan
32.515854,nan
34.957261,nan
37.742659,nan
88.17536,6.55910048497077e-12
89.466422,6.559114362758578e-12
91.412671,6.559086607182962e-12
93.814198,6.559086607182962e-12
107.268782,nan
114.093262,nan
116.611715,nan
119.054218,nan
3635.756738,1.0243382531083256e-10
3643.120825,1.0243381143304475e-10
3645.001579,1.0243382531083256e-10
3646.68705,1.0243381143304475e-10
4184.894673,nan
4195.646092,nan
4199.645706,nan
