case,mode,n_target,n_actual,sigma,p,ncrit,theta,uj_reps,t_build,t_uj_median,t_uj_min,t_reset_median,step_reps,t_step_median,t_step_min,u_rel_rms,u_abs_rms,u_max_err,j_rel_rms,threads,host,jobid,julia_version,timestamp
cube,cpu1,1000,1000,0.20000000000000004,4,50,0.4,5,0.105871166,0.05683917,0.056492548,9.357e-6,3,0.228437875,0.227331343,1.4187383672496865e-15,8.500515388597684e-18,2.8005175072986604e-17,1.3641298888995092e-15,1,m12-2-1,13051516,1.11.7,2026-08-04T21:27:16
cube,cpu64,1000,1000,0.20000000000000004,4,50,0.4,5,0.100016998,0.056644844,0.056481106,9.347e-6,3,0.22862595,0.228397549,1.4187383672496865e-15,8.500515388597684e-18,2.8005175072986604e-17,1.3641298888995092e-15,64,m12-2-1,13051516,1.11.7,2026-08-04T21:27:35
cube,cpu1,3162,3162,0.13626240204970833,4,50,0.4,5,0.101150841,0.55383893,0.553172866,4.243e-5,3,2.224663368,2.221018348,2.3862098973579165e-15,1.1324485124133907e-17,4.1980330519504086e-17,2.3739901985070663e-15,1,m12-2-1,13051516,1.11.7,2026-08-04T21:28:48
cube,cpu64,3162,3162,0.13626240204970833,4,50,0.4,5,0.1004012,0.553709907,0.552397667,0.000632621,3,2.24902065,2.246353993,2.3862098973579165e-15,1.1324485124133907e-17,4.1980330519504086e-17,2.3739901985070663e-15,64,m12-2-1,13051516,1.11.7,2026-08-04T21:29:19
cube,cpu1,10000,10000,0.09283177667225559,4,50,0.4,5,0.103385992,4.579010922,4.575065767,0.000164479,3,18.240593644,18.236775648,0.01065589300644106,4.184448475113078e-5,0.0001770417778133142,0.018365781179858702,1,m12-2-1,13051516,1.11.7,2026-08-04T21:32:07
cube,cpu64,10000,10000,0.09283177667225559,4,50,0.4,5,0.103607376,0.159226205,0.154797288,0.000900926,3,0.637970693,0.636493703,0.01065589300644106,4.184448475113078e-5,0.0001770417778133142,0.018365781179858702,64,m12-2-1,13051516,1.11.7,2026-08-04T21:32:32
cube,cpu1,31623,31623,0.06324540427185821,4,50,0.4,5,0.113122065,24.385154189,24.364165844,0.000335662,3,98.465841226,98.233689843,0.029508830910271813,0.00010536391164934992,0.0002852215195265378,0.06572585658769127,1,m12-2-1,13051516,1.11.7,2026-08-04T21:42:49
cube,cpu64,31623,31623,0.06324540427185821,4,50,0.4,5,0.111700767,0.646868107,0.51502081,0.000667828,3,2.612367356,2.51529306,0.029508830910271813,0.00010536391164934992,0.0002852215195265378,0.06572585658769127,64,m12-2-1,13051516,1.11.7,2026-08-04T21:43:25
cube,cpu1,100000,100000,0.043088693800637685,4,50,0.4,5,0.143056971,113.740330133,113.692293787,0.002042875,3,452.349372008,452.149318662,0.04624605170147371,9.752609924444667e-5,0.00021785292361641977,0.07106222650844712,1,m12-2-1,13051516,1.11.7,2026-08-04T22:27:01
cube,cpu64,100000,100000,0.043088693800637685,4,50,0.4,5,0.142269358,2.513485245,1.953319016,0.00090326,3,7.849604101,7.815354755,0.04624605170147371,9.752609924444667e-5,0.00021785292361641977,0.07106222650844712,64,m12-2-1,13051516,1.11.7,2026-08-04T22:30:11
