case,n_target,n_actual,seed,sampler_seed,samples,host,timestamp,index,ux,uy,uz,j11,j21,j31,j12,j22,j32,j13,j23,j33
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1,0.20968741098975846,-0.07362584176352253,-0.16918876187122925,2.6157410986904037,-246.98604226928126,-481.07913214669986,259.7708031375301,59.775181242570696,-71.95112179386777,404.8327200560443,127.14503542618313,-62.390922341260975
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,2,-0.27142369347251427,-0.28315264105648547,-0.257941439912004,32.0950006849458,-296.20068800913805,-597.303869872973,217.66778495363425,12.147011082110163,-124.53367113888298,548.4603702867146,190.22611351682454,-44.24201176705601
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,3,0.23498650140612426,-0.10311888912576703,-0.2517740485958722,2.7123087644318087,-396.07068411587125,-741.6105434618258,379.4987749326619,43.397668553538374,-210.0978810322359,676.0520588743268,243.45629967415243,-46.10997731797065
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,4,0.05624777927080176,-0.19475150506456046,-0.2966370531802464,10.206402767432435,-422.92823514507376,-790.6940754733799,401.5726299280897,32.526982991554554,-246.73387190017684,737.5072120045853,283.89324265137344,-42.73338575898714
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,5,0.054552092669299994,-0.14113775183117203,-0.19879494175727014,4.640347986510077,-488.09133120708987,-858.8359757643535,476.1497189742533,41.64908925817989,-340.37540757677317,792.9160188746032,366.39317235333687,-46.289437244689886
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,6,0.22488269548145537,0.09507243885002235,0.07913578350326221,6.429497119419885,-479.5635926231024,-845.8870731072241,468.5769907316167,54.74507796525881,-319.9182014837043,786.4368363313024,331.5387835856222,-61.17457508467824
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,7,0.09583930684613115,-0.159195119546315,-0.26355882843840417,-1.5709964329025794,-524.0196164090004,-856.7591290371295,524.136474816861,42.99028171740688,-437.0845171592987,781.5047589727018,446.460615077196,-41.419285284504554
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,8,-0.005182145700953462,-0.02317010535249216,0.05685159200154747,-1.7399692387723962,-522.3884369549057,-868.0737736472659,518.4565215741237,48.16479949881665,-412.2948678398569,795.187688299437,428.42087315148444,-46.42483026004431
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,9,0.27668215758133047,-0.26816236586417425,-0.6046840574826721,-15.383573606461972,-512.9505521562089,-773.9289690492474,523.5159720202614,29.68211256222462,-503.5727576355381,729.3258822177306,506.2644745328774,-14.298538955762663
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,10,-0.1636346455357118,-0.29358431186082046,-0.15042784807392293,5.166540467053135,-523.8949851285355,-810.1126229179146,554.0484215658223,9.340384335245629,-563.8767407531325,726.8004816429161,549.0527620777451,-14.506924802298668
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,11,0.5761925757432902,0.3651517953596822,-0.05476446897382052,27.807526574345278,-522.0998927880711,-708.7666119087238,502.32891204111826,-17.12921396105608,-660.1489600948926,649.9473618910513,552.4844068221365,-10.678312613289688
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,12,-0.4792471868429258,-0.7237731666904276,-0.27866974485957685,42.823881461353096,-450.8857359187414,-727.4021129762074,540.0820606565937,-24.237865755814564,-613.7129529981856,604.4570356166683,564.2916343288118,-18.58601570553795
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,13,-0.2567591095958637,-0.05674272548625552,0.3952711313809126,13.075607020504652,-524.5036726551783,-710.2198151450225,536.5777120075245,-12.275669171634524,-665.9887679815074,671.9639468029018,670.6379517445632,-0.7999378488702072
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,14,0.014737945954255389,-0.0030640364489412345,0.13762374267422453,34.16767884248262,-539.658512798087,-689.0819531108291,552.4421518989633,-14.368708824027417,-733.6707904884297,658.4901742200609,715.007563673374,-19.79897001845481
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,15,0.2582830379210119,0.41449512647664155,0.24850665619330403,50.09807277134852,-549.023667961243,-602.1558807789762,559.0775747892567,-5.630440510842282,-803.7570584024646,597.4220854616146,738.0156145368381,-44.467632260506605
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,16,-0.07964387053998602,-0.6308362588125336,-0.3801775754230356,42.45203107162478,-484.6082527679929,-610.4023303091996,574.3507498452005,-3.3044812764300455,-758.7573469839635,565.7199758185828,739.791866970762,-39.14754979519524
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,17,0.1851440113069131,0.21760925005192783,0.1127278850851542,37.838100043406406,-574.1268430340753,-562.3233715803268,590.7869086034419,-11.153962892148092,-865.0510538017619,553.4655527057237,820.1144820981852,-26.68413715125815
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,18,0.1000373667207438,-0.33923182310766736,-0.27587353125843256,25.704068385404966,-552.6982388504821,-562.7953572736203,598.2720711017754,0.27701173688665093,-841.3444595361889,532.2651600736225,822.2600136430725,-25.981080122291637
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,19,0.0654288445437212,-0.12293680668414435,-0.018803141259470604,20.71994468851449,-576.4068634211769,-507.2170789905611,604.3929627271314,-4.442679343537294,-882.56502572373,480.3739190586436,848.6796258687936,-16.277265344977614
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,20,0.18148381450350698,0.40930305214677787,0.20849149778823278,31.48682679673518,-558.0182078129731,-421.6777674023614,582.4618879920882,-7.547166181935544,-887.0022932796633,436.7700365136349,815.7545666319988,-23.939660614799603
