label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,leaf_q,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
cy1_c5_auto_f32,13148807,m13h-2-2,cube,100000,partitioned,Float32,4,16,uniform,dense,256,default,ok,,17,12.093,12.074,0.044,0.323,11.694,0.055,-0.023,37.192,3.625,1.046,3.283,1.038,7.73,0.387,0.0,0.0,0.0,0.003,9.3470e-04,8.4219e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,51.87,1328,1.2,true
cy1_c5_auto_f64,13148807,m13h-2-2,cube,100000,partitioned,Float64,4,16,uniform,dense,256,default,ok,,17,20.566,20.516,0.045,0.333,20.118,0.063,0.007,62.258,6.209,1.07,4.043,1.054,15.298,0.347,0.0,0.0,0.0,0.003,9.3471e-04,8.4214e-06,5.2346e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,18.54,1856,1.57,true
cy1_w5_auto_f32,13148807,m13h-2-2,wake,100000,partitioned,Float32,5,16,uniform,dense,256,default,ok,,16,16.642,16.427,0.044,0.318,16.243,0.054,-0.017,50.782,11.387,1.276,0.69,1.267,9.764,0.324,0.0,0.0,0.0,0.003,4.7925e-04,7.4880e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,2.0,1440,2.2,true
cy1_w5_auto_f64,13148807,m13h-2-2,wake,100000,partitioned,Float64,5,16,uniform,dense,256,default,ok,,16,23.757,23.625,0.044,0.326,23.483,0.062,-0.157,71.787,18.747,1.304,0.803,1.285,19.844,0.33,0.0,0.0,0.0,0.003,4.7925e-04,7.4881e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.27,1968,3.04,true
cy1_c6_auto_f32,13148807,m13h-2-2,cube,1000000,partitioned,Float32,5,16,uniform,dense,256,default,ok,,17,149.259,149.184,0.369,0.897,147.452,0.562,-0.021,,4.937,1.309,31.304,1.304,115.29,0.55,0.0,0.0,0.0,0.003,9.8346e-04,3.7592e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,1 8 64 512 2744 21950,176 169984 2369624 31977052,2.69,9004,4.95,true
cy1_w6_auto_f32,13148807,m13h-2-2,wake,1000000,partitioned,Float32,6,16,uniform,dense,256,default,ok,,16,177.12,174.397,0.369,1.003,174.734,0.56,0.454,,14.744,1.539,5.472,1.532,166.832,0.561,0.0,0.0,0.0,0.003,4.9182e-04,5.6452e-05,4.9311e-03,true,6048,7169,5181864,1142760,262144,1 8 16 32 168 896 6048,0 288 9792 230384 4941400,2.53,9900,9.35,true
cy1_c5_e4q17_dense_f64,13148807,m13h-2-2,cube,100000,partitioned,Float64,4,17,uniform,dense,256,default,ok,,17,20.552,20.52,0.044,0.318,20.126,0.062,0.002,62.297,,,,,,,,,,,9.3471e-04,8.4214e-06,5.2346e-03,true,2744,3329,2539784,587920,4096,,,0.3,1856,9.6,true
cy1_c6_e4q16_dense_f32,13148807,m13h-2-2,cube,1000000,partitioned,Float32,4,16,uniform,dense,256,default,ok,,16,284.302,283.71,0.369,1.245,281.95,0.563,0.175,,27.432,1.044,3.078,1.032,277.583,0.566,0.0,0.0,0.0,0.003,7.2331e-04,4.3929e-06,1.9164e-03,true,2744,3329,2291816,506224,4096,1 8 64 512 2744,272 173536 2118008,2.66,8892,2.45,true
cy1_c6_e5q17_dense_f32,13148807,m13h-2-2,cube,1000000,partitioned,Float32,5,17,uniform,dense,256,default,ok,,17,149.156,148.99,0.368,0.901,147.303,0.562,0.021,,,,,,,,,,,,9.8346e-04,3.7591e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,,,2.99,9004,5.82,true
cy1_c6_e5q18_dense_f32,13148807,m13h-2-2,cube,1000000,partitioned,Float32,5,18,uniform,dense,256,default,ok,,18,158.457,158.371,0.369,0.888,156.64,0.564,-0.003,,,,,,,,,,,,8.8167e-04,4.0011e-06,4.3501e-03,true,21950,25279,37964360,6277418,32768,,,3.15,9004,7.48,true
