label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,leaf_q,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
cy3a_c5_p4_q17_r4252_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,17,uniform,dense,256,4.252,ok,,17,12.18,12.107,0.046,0.317,11.786,0.055,-0.025,,0.395,1.059,3.284,1.052,7.74,0.599,0.0,0.0,0.0,0.003,9.3471e-04,8.4216e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,55.29,1328,1.2,true,4,3
cy3a_c5_p4_q14_r3668_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,14,uniform,dense,256,3.668,ok,,14,10.521,10.486,0.044,0.305,10.117,0.055,-0.001,,0.395,1.047,3.01,1.04,6.258,0.497,0.0,0.0,0.0,0.003,1.3050e-03,1.1853e-05,7.1811e-03,false,2744,3329,2256440,494464,4096,1 8 64 512 2744,272 175072 2081096,1.94,1328,1.48,true,4,3
cy3a_c5_p4_q12_r3668_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,ok,,12,9.125,9.104,0.043,0.305,8.724,0.054,-0.001,,0.395,1.046,2.556,1.039,5.281,0.496,0.0,0.0,0.0,0.003,2.1139e-03,2.0313e-05,1.1497e-02,false,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,1.46,1328,1.42,true,4,3
cy3a_c5_p5_q14_r4252_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,14,uniform,dense,256,4.252,ok,,14,13.947,13.91,0.047,0.31,13.541,0.056,-0.007,,0.713,1.07,5.142,1.06,7.215,0.498,0.0,0.0,0.0,0.003,2.1785e-04,1.8251e-06,1.4150e-03,true,2744,3329,2256440,494464,4096,1 8 64 512 2744,272 175072 2081096,4.71,1328,1.45,true,5,4
cy3a_c5_p5_q14_r3668_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,14,uniform,dense,256,3.668,ok,,14,13.109,13.068,0.045,0.303,12.67,0.053,0.038,,0.713,1.045,5.146,1.045,6.43,0.509,0.0,0.0,0.0,0.003,5.8294e-04,3.7595e-06,3.1077e-03,true,2744,3329,2256440,494464,4096,1 8 64 512 2744,272 175072 2081096,4.72,1328,1.51,true,5,4
cy3a_c5_p5_q12_r3668_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,ok,,12,11.52,11.5,0.044,0.302,11.113,0.054,0.006,,0.713,1.049,4.434,1.042,5.454,0.517,0.0,0.0,0.0,0.003,6.8061e-04,4.0550e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,3.53,1328,1.48,true,5,4
cy3a_c5_p5_q12_r3668_concat,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,concat,256,3.668,ok,,12,28.71,28.593,0.047,0.322,28.057,0.056,0.227,,0.711,1.052,21.092,1.056,5.447,0.533,0.0,0.0,10.802,0.003,6.8059e-04,4.0546e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,4.98,23896,1.67,true,5,4
cy3a_c5_p5_q12_r3668_precomp,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,precomputed_y,256,3.668,ok,,12,22.489,22.466,0.045,0.317,21.95,0.055,0.122,,0.711,1.05,14.465,1.052,5.453,0.536,0.0,0.0,4.685,0.003,6.8061e-04,4.0543e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,7.37,23896,1.64,true,5,4
cy3a_c5_p6_q12_r3668_dense,13154216,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,ok,,12,21.056,21.014,0.045,0.317,20.642,0.057,-0.005,,1.198,1.067,13.279,1.06,5.686,0.525,0.0,0.0,0.0,0.003,5.6396e-04,3.7845e-06,2.8382e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,7.49,1328,1.42,true,6,5
cy3a_c6_p4_q17_r4252_dense,13154216,m13h-1-2,cube,1000000,partitioned,Float32,5,17,uniform,dense,256,4.252,ok,,17,151.097,150.989,0.368,0.903,149.256,0.562,0.008,,3.041,1.352,31.308,1.358,115.131,0.653,0.0,0.0,0.0,0.003,9.8348e-04,3.7593e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,1 8 64 512 2744 21950,176 169984 2369624 31977052,2.93,9004,4.89,true,4,3
