label,job,host,case,n,tf,literature_P,expansion_order,ell,q,rho_t,reference_checksum,reference_u_rel,reference_j_rel,u_cutoff_rel,u_fmm_rel,u_total_rel,u_triangle_rel,u_correlation,u_cancellation_ratio,u_identity_rel,u_cutoff_pass,u_fmm_pass,j_cutoff_rel,j_fmm_rel,j_total_rel,j_triangle_rel,j_correlation,j_cancellation_ratio,j_identity_rel
p4,13157744,m13h-1-1,cube,100000,Float32,4,3,4,17,4.252,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,4.9082046693368256e-5,0.0009347811827836844,0.0009346977638947829,0.0009838632294770528,-0.027952732466974,0.9500281501439967,0.0,true,false,0.00027557211990684424,0.005229064974302055,0.005234551346459919,0.0055046370942089,-0.006430568739168333,0.9509348676167733,3.7733822891295385e-20
p4,13157744,m13h-1-1,cube,100000,Float64,4,3,4,17,4.252,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,4.9082046693368256e-5,0.0009347957730609082,0.0009347146893492741,0.0009838778197542764,-0.027904749879524147,0.9500312646368215,0.0,true,false,0.00027557211990684424,0.0052290681958926085,0.005234555391210729,0.005504640315799453,-0.006427562281663253,0.9509350458714759,3.7733822891295385e-20
p5,13157744,m13h-1-1,cube,100000,Float32,5,4,4,12,3.668,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889195462,0.0004052253939345092,0.0006805953709599062,0.0009610327828540554,-0.022020900438468178,0.7081916279054374,0.0,false,true,0.002742665213467689,0.00269305116176324,0.003882400664920258,0.005435716375230929,0.02019309011390683,0.7142390067685089,1.1515000192921064e-20
p5,13157744,m13h-1-1,cube,100000,Float64,5,4,4,12,3.668,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889195462,0.0004052137998351392,0.0006805945242298882,0.0009610211887546854,-0.02200322901958687,0.7081992907063985,0.0,false,true,0.002742665213467689,0.0026930509125308835,0.0038824019153054887,0.005435716125998573,0.02019384009943479,0.7142392695483649,1.1515000192921064e-20
p4,13157744,m13h-1-1,cube,1000000,Float32,4,3,5,17,4.252,795e5c9ef41b74b7c38211b0a4c0e4f55bb715c8f237d52bf9f827ed7a5f2df2,2.0729539666673364e-15,2.951447198215783e-15,4.982934841541542e-5,0.00097946612916039,0.0009834678566882533,0.0010292954775758055,0.05503570770473396,0.9554767101517969,0.0,true,false,0.00027792775102766223,0.00494891909393859,0.004958508018165701,0.005226846844966252,0.006455282617814716,0.9486614330284088,2.84885662442239e-20
p4,13157744,m13h-1-1,cube,1000000,Float64,4,3,5,17,4.252,795e5c9ef41b74b7c38211b0a4c0e4f55bb715c8f237d52bf9f827ed7a5f2df2,2.0729539666673364e-15,2.951447198215783e-15,4.982934841541542e-5,0.000979483125616394,0.0009834837721059296,0.0010293124740318096,0.055014362817856904,0.9554763950869368,0.0,true,false,0.00027792775102766223,0.0049489521832702015,0.00495853368828786,0.005226879934297863,0.006428723694162858,0.9486603385991014,2.84885662442239e-20
p5,13157744,m13h-1-1,cube,1000000,Float32,5,4,5,12,3.668,795e5c9ef41b74b7c38211b0a4c0e4f55bb715c8f237d52bf9f827ed7a5f2df2,2.0729539666673364e-15,2.951447198215783e-15,0.000514399127444871,0.00047325290720036183,0.0007078187887483061,0.000987652034645233,0.025535277983194108,0.7166681826383887,0.0,false,true,0.0027323703354116616,0.0027143023282885865,0.0038519078701375778,0.005446672663700248,0.0002635658208787229,0.7072038486558779,7.962796337948816e-21
p5,13157744,m13h-1-1,cube,1000000,Float64,5,4,5,12,3.668,795e5c9ef41b74b7c38211b0a4c0e4f55bb715c8f237d52bf9f827ed7a5f2df2,2.0729539666673364e-15,2.951447198215783e-15,0.000514399127444871,0.00047321159432369217,0.0007078046535355663,0.0009876107217685632,0.025576721536260075,0.7166838491466209,0.0,false,true,0.0027323703354116616,0.002714166810606018,0.0038517756867391065,0.00544653714601768,0.0002445227936222438,0.7071971756504758,7.962796337948816e-21
p4,13157744,m13h-1-1,wake,100000,Float32,4,3,5,12,4.252,3dd3f918317fa51fe684b1d6439baa27369a491638098a52c8086451ac8a2951,1.5988532508726416e-16,2.692714659730551e-16,1.0478876745271717e-5,0.0006945978329851735,0.0006941304394896323,0.0007050767097304452,-0.05213151498084328,0.9844750647840891,0.0,true,false,0.00012598707768752242,0.005984916887222737,0.0059861609846809435,0.0061109039649102585,-0.0006495539563253271,0.979586820387686,2.214705272660945e-19
p4,13157744,m13h-1-1,wake,100000,Float64,4,3,5,12,4.252,3dd3f918317fa51fe684b1d6439baa27369a491638098a52c8086451ac8a2951,1.5988532508726416e-16,2.692714659730551e-16,1.0478876745271717e-5,0.0006945832591428808,0.0006941171589526649,0.0007050621358881525,-0.052008335647988124,0.9844765781930687,0.0,true,false,0.00012598707768752242,0.00598491229158734,0.005986157155579316,0.006110899369274862,-0.000643476547208011,0.979586930473321,2.249173064107027e-19
p5,13157744,m13h-1-1,wake,100000,Float32,5,4,5,6,3.668,3dd3f918317fa51fe684b1d6439baa27369a491638098a52c8086451ac8a2951,1.5988532508726416e-16,2.692714659730551e-16,0.0001048376436415678,0.00028902675308704293,0.00032988011676843445,0.00039386439672861075,0.23585939004327308,0.8375474389367968,0.0,true,true,0.0012444871854505933,0.0021610891831501714,0.0024547761313052363,0.003405576368600765,-0.03590494632564335,0.7208107719850723,4.437259897825111e-20
p5,13157744,m13h-1-1,wake,100000,Float64,5,4,5,6,3.668,3dd3f918317fa51fe684b1d6439baa27369a491638098a52c8086451ac8a2951,1.5988532508726416e-16,2.692714659730551e-16,0.0001048376436415678,0.0002890334252047022,0.00032992065090426293,0.00039387106884626995,0.236231608321412,0.8376361632009909,0.0,true,true,0.0012444871854505933,0.0021610802394682518,0.00245478277733913,0.003405567424918845,-0.035891842105922195,0.7208146164945268,2.7167026330930036e-20
p4,13157744,m13h-1-1,wake,1000000,Float32,4,3,6,12,4.252,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,3.688873220376328e-6,0.0007019423194331542,0.0007020404516420007,0.0007056311926535305,0.023976458828536128,0.9949113062901502,4.7095593288950795e-21,true,false,0.00016818630771980362,0.00632635125412933,0.006330111551879535,0.006494537561849132,0.0090720544347978,0.974682414505463,1.5448813502156878e-19
p4,13157744,m13h-1-1,wake,1000000,Float64,4,3,6,12,4.252,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,3.688873220376328e-6,0.0007019307458779151,0.0007020294743525976,0.0007056196190982915,0.02413807721643913,0.9949120678499817,4.7095593288950795e-21,true,false,0.00016818630771980362,0.006326344471626097,0.006330105374895636,0.0064945307793458995,0.00907564262020055,0.9746824813005469,2.06334704503346e-19
p5,13157744,m13h-1-1,wake,1000000,Float32,5,4,6,6,3.668,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,3.6138568554429555e-5,0.0002888453718648166,0.0002989315015147362,0.0003249839404192461,0.22141189302960051,0.9198346882282832,0.0,true,true,0.0015621938000598846,0.002392543964019185,0.0028695364659969357,0.00395473776407907,0.0093005027698365,0.725594625277299,4.8092117264125836e-20
p5,13157744,m13h-1-1,wake,1000000,Float64,5,4,6,6,3.668,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,3.6138568554429555e-5,0.00028887552602523245,0.0002989763681412754,0.000325014094579662,0.22183925170915544,0.9198873929696464,0.0,true,true,0.0015621938000598846,0.0023925386555664254,0.0028695379517267913,0.00395473245562631,0.009305062149076084,0.7255959749298245,4.8092117264125836e-20
