p,h_over_sigma,sigma,mesh_interior,mesh_padded,n_particles,n_targets,u_rel_rms,j_rel_rms
2,0.5500,0.056818,32,64,1650,250,1.329159e-02,1.532814e-01
4,0.5500,0.056818,32,64,1650,250,5.896287e-04,4.151777e-03
6,0.5500,0.056818,32,64,1650,250,6.994746e-04,4.555022e-03
2,0.7000,0.044643,32,64,1650,250,2.171325e-02,1.849286e-01
4,0.7000,0.044643,32,64,1650,250,1.119914e-03,6.693845e-03
6,0.7000,0.044643,32,64,1650,250,5.751670e-04,2.973078e-03
2,0.8500,0.036765,32,64,1650,250,3.347636e-02,2.210777e-01
4,0.8500,0.036765,32,64,1650,250,3.078905e-03,1.491478e-02
6,0.8500,0.036765,32,64,1650,250,1.001155e-03,4.462538e-03
2,1.0000,0.031250,32,64,1650,250,4.933235e-02,2.606062e-01
4,1.0000,0.031250,32,64,1650,250,7.941138e-03,3.121645e-02
6,1.0000,0.031250,32,64,1650,250,3.722056e-03,1.443131e-02
2,1.2000,0.026042,32,64,1650,250,7.908708e-02,3.142898e-01
4,1.2000,0.026042,32,64,1650,250,2.205641e-02,7.056758e-02
6,1.2000,0.026042,32,64,1650,250,1.433930e-02,4.860428e-02
2,1.4000,0.022321,32,64,1650,250,1.177999e-01,3.656124e-01
4,1.4000,0.022321,32,64,1650,250,4.708169e-02,1.329918e-01
6,1.4000,0.022321,32,64,1650,250,3.610795e-02,1.104780e-01
4,0.4000,0.078125,32,64,1650,250,4.572139e-04,4.036395e-03
6,0.4000,0.078125,32,64,1650,250,6.458362e-04,5.619313e-03
4,0.4750,0.065789,32,64,1650,250,5.190418e-04,4.012241e-03
6,0.4750,0.065789,32,64,1650,250,6.976897e-04,5.252776e-03
