case,n,tf,band,alpha_m,alpha_over_sigmamax,mesh_dims,mesh_points,pairs,t_mesh_ms,t_pairs_ms,t_total_ms,anchor_ms,post038_ms,speedup_vs_post038
rotor,100000,Float32,optimistic,8.9791e-03,2.89,108x90x500,4860000,8.825e+07,0.671,1.147,2.318,12.331,7.006,3.02
rotor,100000,Float32,nominal,7.3594e-03,2.37,125x108x625,8437500,8.013e+07,1.641,1.488,4.129,12.331,7.006,1.70
rotor,100000,Float32,pessimistic,8.4030e-03,2.70,150x128x729,13996800,1.520e+08,5.899,4.941,12.840,12.331,7.006,0.55
rotor,100000,Float64,optimistic,8.9791e-03,2.89,108x90x500,4860000,8.825e+07,1.341,2.294,4.136,22.943,11.491,2.78
rotor,100000,Float64,nominal,7.3594e-03,2.37,125x108x625,8437500,8.013e+07,3.281,2.976,7.257,22.943,11.491,1.58
rotor,100000,Float64,pessimistic,8.4030e-03,2.70,150x128x729,13996800,1.520e+08,11.798,9.882,23.680,22.943,11.491,0.49
rotor,1000000,Float32,optimistic,2.9619e-03,9.53,300x256x1500,115200000,1.339e+09,13.843,17.411,31.754,240.236,33.971,1.07
rotor,1000000,Float32,nominal,2.9619e-03,9.53,300x256x1500,115200000,1.298e+09,21.030,24.105,46.135,240.236,33.971,0.74
rotor,1000000,Float32,pessimistic,3.8615e-03,12.42,320x270x1600,138240000,2.352e+09,58.384,76.456,136.840,240.236,33.971,0.25
rotor,1000000,Float64,optimistic,2.9619e-03,9.53,300x256x1500,115200000,1.339e+09,27.686,34.823,63.008,477.864,60.867,0.97
rotor,1000000,Float64,nominal,2.9619e-03,9.53,300x256x1500,115200000,1.298e+09,42.060,48.210,91.270,477.864,60.867,0.67
rotor,1000000,Float64,pessimistic,3.8615e-03,12.42,320x270x1600,138240000,2.352e+09,116.768,152.912,271.680,477.864,60.867,0.22
