case,structure,param,status,t_b2m_ms,t_m2m_ms,t_m2l_ms,t_s2l_ms,t_l2l_ms,t_near_ms,t_l2b_ms,t_m2t_ms,t_stagesum_ms,t_life_graph_overlap_ms,t_life_nograph_overlap_ms,t_life_nograph_serial_ms,t_update_warm_ms,t_update_rebuild_ms
unitcube,adaptive,64,ok,2.066,0.573,5.538,0.19,0.615,12.329,1.349,0.027,22.688,21.674,21.877,22.157,9.003,50.944
unitcube,uniform,5,ok,2.061,0.483,5.596,0.003,0.504,12.418,1.347,0.003,22.416,21.567,21.681,21.99,6.424,6.424
unitcube,uniform,6,ok,13.52,1.128,43.491,0.003,1.325,12.76,5.114,0.003,77.344,76.555,76.794,77.123,6.168,6.168
unitcube,uniform,7,ok,43.344,3.7,103.542,0.003,3.903,8.798,16.635,0.003,179.928,179.191,179.505,179.755,7.783,7.783
wake,adaptive,64,ok,3.467,0.784,9.45,22.249,0.925,9.218,1.334,7.237,54.664,53.586,53.868,54.037,9.224,92.947
wake,uniform,5,ok,0.806,0.47,0.339,0.003,0.464,154.799,1.278,0.003,158.161,156.266,156.419,157.985,5.833,5.833
wake,uniform,6,ok,0.959,0.583,1.532,0.003,0.574,25.234,1.002,0.003,29.89,28.401,28.562,29.204,5.872,5.872
wake,uniform,7,ok,3.689,0.689,10.02,0.003,0.835,9.342,1.382,0.003,25.963,25.001,25.254,25.43,7.606,7.606
multiscale100,adaptive,64,ok,2.658,0.799,7.551,19.578,0.804,12.825,1.268,5.639,51.124,49.949,50.236,50.443,9.396,61.221
multiscale100,uniform,5,ok,2.105,0.474,5.585,0.003,0.503,174.162,2.785,0.003,185.62,178.077,178.41,185.357,6.344,6.344
multiscale100,uniform,6,ok,12.87,1.087,39.838,0.003,1.284,98.835,5.107,0.003,159.027,151.361,151.652,158.969,6.71,6.71
multiscale100,uniform,7,ok,31.261,2.954,71.671,0.003,3.155,13.066,12.203,0.003,134.315,133.39,133.67,134.098,7.913,7.913
