manifest,job,policy,strategy,precision,P,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,3,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,3,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,3,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,3,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,3,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,3,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,3,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,3,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,4,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,4,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,4,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,4,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,4,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,4,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,4,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,4,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,4,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,4,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,4,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,4,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,4,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,4,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,4,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,4,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,5,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,5,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,2000,5,4,5,1740,170274,176,97.85862068965517,30.0,110.0,152.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,5,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,5,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,2000,5,4,5,1740,170274,176,97.85862068965517,30.0,110.0,152.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,5,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,5,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,2000,5,4,5,1740,170274,176,97.85862068965517,30.0,110.0,152.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,5,4,3,1740,122616,201,70.46896551724137,12.0,61.0,148.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,5,4,4,1740,473526,551,272.1413793103448,62.0,272.0,466.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,2000,5,4,5,1740,170274,176,97.85862068965517,30.0,110.0,152.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,5,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,5,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,2000,5,4,5,316,29688,196,93.9493670886076,31.5,79.5,167.50000000000006
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,5,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,5,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,2000,5,4,5,316,29688,196,93.9493670886076,31.5,79.5,167.50000000000006
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,5,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,5,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,2000,5,4,5,316,29688,196,93.9493670886076,31.5,79.5,167.50000000000006
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,5,4,3,316,43520,310,137.72151898734177,43.0,113.5,258.0000000000001
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,5,4,4,316,101336,671,320.6835443037975,101.0,257.0,600.5000000000002
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,2000,5,4,5,316,29688,196,93.9493670886076,31.5,79.5,167.50000000000006
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,3,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,3,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,3,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,3,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,3,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,3,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,3,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,3,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,4,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,4,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,4,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,4,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,4,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,4,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,4,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,4,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,4,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
