manifest,job,policy,strategy,precision,P,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,64,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,64,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,64,4,316,341224,2352,1079.8227848101267,312.5,840.0,2028.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,64,5,316,3497986,20064,11069.575949367088,4396.5,9304.5,18784.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,256,4,316,341224,2352,1079.8227848101267,312.5,840.0,2028.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,200000,5,256,5,316,3497986,20064,11069.575949367088,4396.5,9304.5,18784.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,64,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,64,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,64,4,316,341224,2352,1079.8227848101267,312.5,840.0,2028.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,64,5,316,3497986,20064,11069.575949367088,4396.5,9304.5,18784.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,256,4,316,341224,2352,1079.8227848101267,312.5,840.0,2028.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,200000,5,256,5,316,3497986,20064,11069.575949367088,4396.5,9304.5,18784.0
