label,policy,strategy,blas_threads,ell,n,window_classes,distribution,precision,lh,P,m2l_ms_median,m2l_ms_min,step_ms_median,step_ms_min,update_ms_median,construction_ms,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,expansion_host_copies,route_uploads,operator_uploads,n_routes,m2l_raw,step_raw
old_r2,flat,concat,1,3,2000,0,uniform,Float64,false,4,0.289704,0.282417,4.547503,4.4932669999999995,0.951962,28689.486155,80,6656,7216,0,2,1,33324,0.35389 0.30435 0.30329 0.2897 0.28903 0.28403 0.28242,47.61456 5.0513 4.64546 4.49327 4.5475 4.54596 4.5085
old_r2,flat,factored,1,3,2000,0,uniform,Float64,false,4,0.201531,0.20036500000000002,4.074543,4.014441,0.930534,877.224562,0,6656,7136,0,2,1,33324,0.20304 0.20202 0.20277 0.20153 0.20047 0.20046 0.20036,4.17234 4.08049 4.07296 4.07454 4.11566 4.04358 4.01444
old_r2,flat,precomputed_y,1,3,2000,0,uniform,Float64,false,4,0.131536,0.130816,4.058796,4.012921,0.973653,1261.148972,0,6656,7136,0,2,1,33324,0.13614 0.13154 0.13163 0.13122 0.13163 0.13104 0.13082,4.14483 4.05299 4.06757 4.01292 4.04332 4.0941 4.0588
old_r2,flat,dense,1,3,2000,0,uniform,Float64,false,4,0.045465,0.043637,4.0287489999999995,3.982206,0.959029,876.91422,0,6656,7136,0,2,1,33324,0.04795 0.04516 0.04546 0.04554 0.05025 0.04364 0.04419,4.01252 4.01342 4.02875 3.98221 4.18518 4.17815 4.47078
old_r2,flat,concat,1,3,20000,0,uniform,Float64,false,4,0.255666,0.25080600000000003,10.623047999999999,10.533852999999999,1.168458,6.263269,80,6912,7472,0,2,1,34512,0.28332 0.27107 0.26404 0.25567 0.25471 0.25513 0.25081,10.7055 10.60468 10.6606 10.58695 10.62305 10.67076 10.53385
old_r2,flat,factored,1,3,20000,0,uniform,Float64,false,4,0.203878,0.20319,10.520175,10.469469,1.187082,6.27976,0,6912,7392,0,2,1,34512,0.2068 0.20319 0.2043 0.20341 0.20388 0.2032 0.2045,10.6106 10.64826 10.6534 10.52018 10.46947 10.51099 10.51266
old_r2,flat,precomputed_y,1,3,20000,0,uniform,Float64,false,4,0.134216,0.13364,10.488767,10.43031,1.202459,8.365614,0,6912,7392,0,2,1,34512,0.13572 0.14102 0.13462 0.13398 0.13364 0.13422 0.13392,10.58387 10.51344 10.48877 10.43947 10.47862 10.43031 10.57377
old_r2,flat,dense,1,3,20000,0,uniform,Float64,false,4,0.045414,0.04457,10.402325000000001,10.253131,1.191883,70.514176,0,6912,7392,0,2,1,34512,0.0485 0.04656 0.04699 0.04541 0.04483 0.04527 0.04457,10.58788 10.4733 10.38028 10.49831 10.25313 10.33574 10.40233
old_r2,flat,concat,1,3,2000,0,uniform,Float64,false,8,3.060915,3.058681,8.230548,8.200552,0.909601,9.637227,160,6664,7304,0,2,1,185844,3.06312 3.05887 3.06081 3.06571 3.05868 3.06092 3.06222,8.28408 8.24607 8.22974 8.23055 8.23507 8.20055 8.218
old_r2,flat,factored,1,3,2000,0,uniform,Float64,false,8,2.4497519999999997,2.447272,7.661923,7.639913,0.955284,13.058235,0,6664,7144,0,2,1,185844,2.45084 2.44727 2.45222 2.44975 2.45337 2.44758 2.44782,7.70736 7.70067 7.66192 7.63991 7.66022 7.6526 7.66734
old_r2,flat,precomputed_y,1,3,2000,0,uniform,Float64,false,8,1.3429959999999999,1.337579,6.566182,6.532971,0.961858,42.832321,0,6664,7144,0,2,1,185844,1.34888 1.34247 1.343 1.34228 1.34582 1.33758 1.34524,6.59948 6.57534 6.56618 6.56706 6.54362 6.54864 6.53297
old_r2,flat,dense,1,3,2000,0,uniform,Float64,false,8,0.9846449999999999,0.983884,6.196249,6.18615,0.948493,1738.94111,0,6664,7144,0,2,1,185844,0.98464 0.98388 0.98517 0.98464 0.9842 0.9866 0.98503,6.21787 6.20671 6.19625 6.19437 6.19818 6.18809 6.18615
old_r2,flat,concat,1,3,20000,0,uniform,Float64,false,8,3.171831,3.1652970000000002,31.151377,31.078515,1.154207,10.24138,160,6912,7552,0,2,1,192480,3.17635 3.1742 3.16781 3.1653 3.16856 3.17273 3.17183,31.34742 31.24698 31.15538 31.15138 31.11936 31.08476 31.07852
old_r2,flat,factored,1,3,20000,0,uniform,Float64,false,8,2.51915,2.5136249999999998,30.604611000000002,30.554934,1.211632,13.544466,0,6912,7392,0,2,1,192480,2.52192 2.51362 2.51925 2.52478 2.51368 2.51915 2.51857,30.75092 30.68026 30.59096 30.60461 30.55493 30.55981 30.62179
old_r2,flat,precomputed_y,1,3,20000,0,uniform,Float64,false,8,1.385686,1.379389,29.40748,29.359254,1.229522,42.308408,0,6912,7392,0,2,1,192480,1.38892 1.37939 1.38687 1.38862 1.38137 1.38407 1.38569,29.40843 29.40748 29.39675 29.43476 29.41465 29.39672 29.35925
old_r2,flat,dense,1,3,20000,0,uniform,Float64,false,8,1.018505,1.01682,29.029009000000002,28.925716,1.206503,1734.55292,0,6912,7392,0,2,1,192480,1.02289 1.02059 1.01847 1.02066 1.01682 1.0185 1.01794,29.10103 29.0793 29.10643 28.98156 29.01755 28.92572 29.02901
