policy,strategy,blas_threads,ell,npoints,n_min,n_max,route_exponent,m2l_exponent
flat,precomputed_y,1,3,5,64,1024,1.4363624777368307,1.319135435482065
flat,precomputed_y,1,4,7,128,8192,1.6438331897383052,1.5235732642819717
flat,precomputed_y,1,5,5,256,4096,1.958665724446753,1.630832797515256
flat,precomputed_y,64,3,5,64,1024,1.4363624777368307,1.2944354388094803
flat,precomputed_y,64,4,7,128,8192,1.6438331897383052,1.56098022708711
flat,precomputed_y,64,5,5,256,4096,1.958665724446753,1.632604680481204
hierarchical_12,precomputed_y,1,3,5,64,1024,1.4082729861344252,0.9019119555175138
hierarchical_12,precomputed_y,1,4,7,128,8192,1.2928178724927852,1.0647217110384166
hierarchical_12,precomputed_y,1,5,5,256,4096,1.369976825707982,1.1487998390220464
hierarchical_12,precomputed_y,64,3,5,64,1024,1.4082729861344252,0.9133343191293072
hierarchical_12,precomputed_y,64,4,7,128,8192,1.2928178724927852,1.063990475297632
hierarchical_12,precomputed_y,64,5,5,256,4096,1.369976825707982,1.137599801537163
hierarchical_3,precomputed_y,1,3,5,64,1024,1.1306551204161945,0.9846032201737284
hierarchical_3,precomputed_y,1,4,7,128,8192,1.0972292632941918,1.016504275463149
hierarchical_3,precomputed_y,1,5,5,256,4096,1.1748395391937678,1.1049483025788904
hierarchical_3,precomputed_y,64,3,5,64,1024,1.1306551204161945,0.9781206728387896
hierarchical_3,precomputed_y,64,4,7,128,8192,1.0972292632941918,1.0119719176091346
hierarchical_3,precomputed_y,64,5,5,256,4096,1.1748395391937678,1.0914100771424131
