schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,false,5000,3,4,26031304,4,512,585,208320,208320,53824,3196,6479.624068,NaN,NaN,NaN,NaN,NaN,2.646742,2.646742,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10256,8496,26480,2048,0,12582912,140400,148053380,148053380,722448384,256,1.552916133740201e-7,1.743909920428298e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,true,5000,3,4,26031321,4,512,585,208320,208320,53824,3196,6524.160691,NaN,NaN,NaN,NaN,NaN,2.658264,2.658264,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21872,8496,45680,2048,0,12582912,336960,420575208,420575208,1035497472,256,NaN,1.1706769024057324e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,false,5000,3,4,26031303,4,512,585,208320,208320,53824,3196,6292.713305,NaN,NaN,NaN,NaN,NaN,3.100382,3.100382,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10256,8496,26480,2048,0,12582912,280800,295024360,295024360,903012352,256,2.3496522051635882e-7,9.907730393339531e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,true,5000,3,4,26031320,4,512,585,208320,208320,53824,3196,6160.497297,NaN,NaN,NaN,NaN,NaN,2.766747,2.766747,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21872,8496,45680,2048,0,12582912,673920,840063144,840063144,1472942080,256,NaN,1.2305380467697493e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,false,5000,4,4,26031405,4,2873,3458,7967472,7967472,286657,29612,6817.194452,NaN,NaN,NaN,NaN,NaN,185.955936,185.955936,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,281184,11008,302832,16384,0,805306368,1123440,218757316,218757316,1277005824,256,1.7211022793062192e-7,1.1310699526167513e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,true,5000,4,4,26031422,4,2886,3471,8037428,8037428,291568,29612,7028.510179,NaN,NaN,NaN,NaN,NaN,185.714722,185.714722,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,645872,11008,678048,16384,0,805306368,2696256,496966752,496966752,1597804544,256,NaN,1.2841445503283117e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,false,5000,4,4,26031404,4,2881,3466,8011794,8011794,288367,29612,6258.097318,NaN,NaN,NaN,NaN,NaN,188.560187,188.560187,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,285776,11008,307424,16384,0,805306368,2246880,370207304,370207304,1430556672,256,8.241723736812645e-8,1.1795163687635703e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,true,5000,4,4,26031421,4,2904,3489,8140094,8140094,293122,29612,6321.867105,NaN,NaN,NaN,NaN,NaN,183.546977,183.546977,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,656272,11008,688448,16384,0,805306368,5392512,926621208,926621208,2081738752,256,NaN,9.779414746460824e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,false,5000,5,4,26031506,4,4637,8103,21389840,21389840,111929,249868,8740.648818,NaN,NaN,NaN,NaN,NaN,1813.829783,1813.829783,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,754160,103328,871040,131072,0,1200000000,2323440,256464004,256464004,1993613312,256,2.1766827532077038e-7,1.416252045620403e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float32,true,5000,5,4,26031523,4,4637,8092,21388830,21388830,112939,249868,8888.102316,NaN,NaN,NaN,NaN,NaN,1825.918933,1825.918933,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1706672,102976,1836672,131072,0,1200000000,5576256,536115928,536115928,2308599808,256,NaN,2.2308821011679178e-5,0,0,0
