stage,form,launch_strategy,transfer_variant,precision,P,batch,seconds,seconds_per_expansion
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,1,6.867200e-05,6.867200e-05
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,1,1.249280e-04,1.249280e-04
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,1,8.255999e-06,8.255999e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,1,2.902400e-05,2.902400e-05
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,1,6.777600e-05,6.777600e-05
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,1,1.250240e-04,1.250240e-04
m2l_z_translation,dense,fused_kernel,device_resident,Float64,2,1,8.192000e-06,8.192000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,1,2.908800e-05,2.908800e-05
l2l_z_translation,dense,per_block_launch,device_resident,Float64,2,1,6.912000e-05,6.912000e-05
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,1,1.258240e-04,1.258240e-04
l2l_z_translation,dense,fused_kernel,device_resident,Float64,2,1,8.064000e-06,8.064000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,1,2.915200e-05,2.915200e-05
axis_swap,dense,per_block_launch,device_resident,Float64,2,1,7.017600e-05,7.017600e-05
axis_swap,dense,per_block_launch,with_transfer,Float64,2,1,1.275200e-04,1.275200e-04
axis_swap,dense,fused_kernel,device_resident,Float64,2,1,8.224000e-06,8.224000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,2,1,2.918400e-05,2.918400e-05
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,8,6.979200e-05,8.724001e-06
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,8,1.253760e-04,1.567200e-05
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,8,8.160000e-06,1.020000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,8,2.883200e-05,3.604000e-06
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,8,6.889601e-05,8.612001e-06
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,8,1.257600e-04,1.572000e-05
m2l_z_translation,dense,fused_kernel,device_resident,Float64,2,8,8.192000e-06,1.024000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,8,2.876800e-05,3.596000e-06
l2l_z_translation,dense,per_block_launch,device_resident,Float64,2,8,7.004799e-05,8.755999e-06
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,8,1.262400e-04,1.578000e-05
l2l_z_translation,dense,fused_kernel,device_resident,Float64,2,8,8.160000e-06,1.020000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,8,2.908800e-05,3.636000e-06
axis_swap,dense,per_block_launch,device_resident,Float64,2,8,7.024000e-05,8.780000e-06
axis_swap,dense,per_block_launch,with_transfer,Float64,2,8,1.262400e-04,1.578000e-05
axis_swap,dense,fused_kernel,device_resident,Float64,2,8,8.224000e-06,1.028000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,2,8,2.934400e-05,3.668000e-06
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,64,7.510400e-05,1.173500e-06
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,64,1.334400e-04,2.085000e-06
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,64,8.160000e-06,1.275000e-07
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,64,2.985600e-05,4.665000e-07
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,64,7.497600e-05,1.171500e-06
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,64,1.333760e-04,2.084000e-06
m2l_z_translation,dense,fused_kernel,device_resident,Float64,2,64,8.192000e-06,1.280000e-07
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,64,2.988800e-05,4.670000e-07
l2l_z_translation,dense,per_block_launch,device_resident,Float64,2,64,7.641600e-05,1.194000e-06
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,64,1.348480e-04,2.107000e-06
l2l_z_translation,dense,fused_kernel,device_resident,Float64,2,64,8.255999e-06,1.290000e-07
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,64,2.988800e-05,4.670000e-07
axis_swap,dense,per_block_launch,device_resident,Float64,2,64,7.484800e-05,1.169500e-06
axis_swap,dense,per_block_launch,with_transfer,Float64,2,64,1.354560e-04,2.116500e-06
axis_swap,dense,fused_kernel,device_resident,Float64,2,64,8.352000e-06,1.305000e-07
axis_swap,dense,fused_kernel,with_transfer,Float64,2,64,3.049600e-05,4.765000e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,512,7.638400e-05,1.491875e-07
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,512,1.457920e-04,2.847500e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,512,8.352000e-06,1.631250e-08
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,512,3.641600e-05,7.112500e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,512,7.692799e-05,1.502500e-07
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,512,1.460160e-04,2.851875e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,2,512,8.384000e-06,1.637500e-08
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,512,3.622400e-05,7.075000e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,2,512,7.676800e-05,1.499375e-07
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,512,1.445120e-04,2.822500e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,2,512,8.416000e-06,1.643750e-08
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,512,3.648000e-05,7.125000e-08
axis_swap,dense,per_block_launch,device_resident,Float64,2,512,7.692799e-05,1.502500e-07
axis_swap,dense,per_block_launch,with_transfer,Float64,2,512,1.498880e-04,2.927500e-07
axis_swap,dense,fused_kernel,device_resident,Float64,2,512,8.672000e-06,1.693750e-08
axis_swap,dense,fused_kernel,with_transfer,Float64,2,512,4.144000e-05,8.093750e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,4096,7.715200e-05,1.883594e-08
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,4096,2.264640e-04,5.528906e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,4096,8.800000e-06,2.148437e-09
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,4096,9.270399e-05,2.263281e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,4096,7.680000e-05,1.875000e-08
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,4096,2.257600e-04,5.511719e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float64,2,4096,8.800000e-06,2.148437e-09
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,4096,9.075200e-05,2.215625e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,2,4096,7.686399e-05,1.876562e-08
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,4096,2.276800e-04,5.558594e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float64,2,4096,8.896000e-06,2.171875e-09
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,2,4096,8.953600e-05,2.185937e-08
axis_swap,dense,per_block_launch,device_resident,Float64,2,4096,7.753600e-05,1.892969e-08
axis_swap,dense,per_block_launch,with_transfer,Float64,2,4096,2.686080e-04,6.557813e-08
axis_swap,dense,fused_kernel,device_resident,Float64,2,4096,9.088000e-06,2.218750e-09
axis_swap,dense,fused_kernel,with_transfer,Float64,2,4096,1.181440e-04,2.884375e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,2,32768,7.987200e-05,2.437500e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,2,32768,7.372800e-04,2.250000e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float64,2,32768,1.168000e-05,3.564453e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,2,32768,4.608640e-04,1.406445e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,2,32768,7.881600e-05,2.405273e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,2,32768,7.414720e-04,2.262793e-08
