stage,form,precision,blas_threads,P,batch,measured_batch,scaled_from_per_expansion,seconds,seconds_per_expansion
m2m_z_translation,recurrence,Float64,4,4,1,1,false,5.090000e-08,5.090000e-08
m2l_z_translation,recurrence,Float64,4,4,1,1,false,8.885000e-08,8.885000e-08
l2l_z_translation,recurrence,Float64,4,4,1,1,false,5.752500e-08,5.752500e-08
axis_swap,recurrence,Float64,4,4,1,1,false,3.571670e-07,3.571670e-07
m2m_z_translation,dense,Float64,4,4,1,1,false,2.614580e-07,2.614580e-07
m2m_z_translation,dense_packed,Float64,4,4,1,1,false,3.775000e-07,3.775000e-07
m2m_z_translation,compiled_block_loop,Float64,4,4,1,1,false,6.279160e-08,6.279160e-08
m2l_z_translation,dense,Float64,4,4,1,1,false,2.617080e-07,2.617080e-07
m2l_z_translation,dense_packed,Float64,4,4,1,1,false,3.755410e-07,3.755410e-07
m2l_z_translation,compiled_block_loop,Float64,4,4,1,1,false,6.366670e-08,6.366670e-08
l2l_z_translation,dense,Float64,4,4,1,1,false,2.607080e-07,2.607080e-07
l2l_z_translation,dense_packed,Float64,4,4,1,1,false,3.811670e-07,3.811670e-07
l2l_z_translation,compiled_block_loop,Float64,4,4,1,1,false,6.276250e-08,6.276250e-08
axis_swap,dense,Float64,4,4,1,1,false,3.295830e-07,3.295830e-07
axis_swap,dense_packed,Float64,4,4,1,1,false,4.871250e-07,4.871250e-07
axis_swap,compiled_block_loop,Float64,4,4,1,1,false,1.404160e-07,1.404160e-07
m2m_z_translation,dense,Float32,4,4,1,1,false,2.972500e-07,2.972500e-07
m2m_z_translation,dense_packed,Float32,4,4,1,1,false,3.814170e-07,3.814170e-07
m2m_z_translation,compiled_block_loop,Float32,4,4,1,1,false,6.276660e-08,6.276660e-08
m2l_z_translation,dense,Float32,4,4,1,1,false,2.896670e-07,2.896670e-07
m2l_z_translation,dense_packed,Float32,4,4,1,1,false,3.729170e-07,3.729170e-07
m2l_z_translation,compiled_block_loop,Float32,4,4,1,1,false,6.319590e-08,6.319590e-08
l2l_z_translation,dense,Float32,4,4,1,1,false,2.874160e-07,2.874160e-07
l2l_z_translation,dense_packed,Float32,4,4,1,1,false,3.757500e-07,3.757500e-07
l2l_z_translation,compiled_block_loop,Float32,4,4,1,1,false,6.276250e-08,6.276250e-08
axis_swap,dense,Float32,4,4,1,1,false,3.830000e-07,3.830000e-07
axis_swap,dense_packed,Float32,4,4,1,1,false,4.962080e-07,4.962080e-07
axis_swap,compiled_block_loop,Float32,4,4,1,1,false,1.366250e-07,1.366250e-07
m2m_z_translation,recurrence,Float64,4,4,8,8,false,3.749160e-07,4.686450e-08
m2l_z_translation,recurrence,Float64,4,4,8,8,false,6.792910e-07,8.491138e-08
l2l_z_translation,recurrence,Float64,4,4,8,8,false,4.530840e-07,5.663550e-08
axis_swap,recurrence,Float64,4,4,8,8,false,2.788750e-06,3.485937e-07
m2m_z_translation,dense,Float64,4,4,8,8,false,5.388330e-07,6.735412e-08
m2m_z_translation,dense_packed,Float64,4,4,8,8,false,8.980830e-07,1.122604e-07
m2m_z_translation,compiled_block_loop,Float64,4,4,8,8,false,4.367920e-07,5.459900e-08
m2l_z_translation,dense,Float64,4,4,8,8,false,5.378340e-07,6.722925e-08
m2l_z_translation,dense_packed,Float64,4,4,8,8,false,8.983750e-07,1.122969e-07
m2l_z_translation,compiled_block_loop,Float64,4,4,8,8,false,4.367500e-07,5.459375e-08
l2l_z_translation,dense,Float64,4,4,8,8,false,5.230420e-07,6.538025e-08
l2l_z_translation,dense_packed,Float64,4,4,8,8,false,8.959160e-07,1.119895e-07
l2l_z_translation,compiled_block_loop,Float64,4,4,8,8,false,4.367500e-07,5.459375e-08
axis_swap,dense,Float64,4,4,8,8,false,7.172080e-07,8.965100e-08
axis_swap,dense_packed,Float64,4,4,8,8,false,1.288330e-06,1.610412e-07
axis_swap,compiled_block_loop,Float64,4,4,8,8,false,1.055000e-06,1.318750e-07
m2m_z_translation,dense,Float32,4,4,8,8,false,5.878330e-07,7.347912e-08
m2m_z_translation,dense_packed,Float32,4,4,8,8,false,9.442500e-07,1.180313e-07
m2m_z_translation,compiled_block_loop,Float32,4,4,8,8,false,4.248750e-07,5.310937e-08
m2l_z_translation,dense,Float32,4,4,8,8,false,5.740830e-07,7.176037e-08
m2l_z_translation,dense_packed,Float32,4,4,8,8,false,9.179580e-07,1.147447e-07
m2l_z_translation,compiled_block_loop,Float32,4,4,8,8,false,4.247500e-07,5.309375e-08
l2l_z_translation,dense,Float32,4,4,8,8,false,5.725840e-07,7.157300e-08
l2l_z_translation,dense_packed,Float32,4,4,8,8,false,9.429170e-07,1.178646e-07
l2l_z_translation,compiled_block_loop,Float32,4,4,8,8,false,4.366670e-07,5.458338e-08
axis_swap,dense,Float32,4,4,8,8,false,7.377080e-07,9.221350e-08
axis_swap,dense_packed,Float32,4,4,8,8,false,1.302500e-06,1.628125e-07
axis_swap,compiled_block_loop,Float32,4,4,8,8,false,1.055420e-06,1.319275e-07
m2m_z_translation,recurrence,Float64,4,4,64,64,false,3.047500e-06,4.761719e-08
m2l_z_translation,recurrence,Float64,4,4,64,64,false,5.548330e-06,8.669266e-08
l2l_z_translation,recurrence,Float64,4,4,64,64,false,3.587080e-06,5.604813e-08
axis_swap,recurrence,Float64,4,4,64,64,false,2.230830e-05,3.485672e-07
m2m_z_translation,dense,Float64,4,4,64,64,false,2.699160e-06,4.217437e-08
m2m_z_translation,dense_packed,Float64,4,4,64,64,false,5.415000e-06,8.460937e-08
m2m_z_translation,compiled_block_loop,Float64,4,4,64,64,false,3.255000e-06,5.085938e-08
m2l_z_translation,dense,Float64,4,4,64,64,false,2.637080e-06,4.120437e-08
m2l_z_translation,dense_packed,Float64,4,4,64,64,false,5.290840e-06,8.266937e-08
m2l_z_translation,compiled_block_loop,Float64,4,4,64,64,false,5.368750e-06,8.388672e-08
l2l_z_translation,dense,Float64,4,4,64,64,false,2.866600e-06,4.479062e-08
l2l_z_translation,dense_packed,Float64,4,4,64,64,false,5.701250e-06,8.908203e-08
l2l_z_translation,compiled_block_loop,Float64,4,4,64,64,false,3.256250e-06,5.087891e-08
axis_swap,dense,Float64,4,4,64,64,false,4.102500e-06,6.410156e-08
axis_swap,dense_packed,Float64,4,4,64,64,false,8.172090e-06,1.276889e-07
axis_swap,compiled_block_loop,Float64,4,4,64,64,false,8.065830e-06,1.260286e-07
m2m_z_translation,dense,Float32,4,4,64,64,false,2.567500e-06,4.011719e-08
m2m_z_translation,dense_packed,Float32,4,4,64,64,false,5.112500e-06,7.988281e-08
m2m_z_translation,compiled_block_loop,Float32,4,4,64,64,false,3.254580e-06,5.085281e-08
m2l_z_translation,dense,Float32,4,4,64,64,false,2.497910e-06,3.902984e-08
m2l_z_translation,dense_packed,Float32,4,4,64,64,false,4.978750e-06,7.779297e-08
m2l_z_translation,compiled_block_loop,Float32,4,4,64,64,false,3.255830e-06,5.087234e-08
l2l_z_translation,dense,Float32,4,4,64,64,false,2.497500e-06,3.902344e-08
l2l_z_translation,dense_packed,Float32,4,4,64,64,false,4.977500e-06,7.777344e-08
l2l_z_translation,compiled_block_loop,Float32,4,4,64,64,false,3.254590e-06,5.085297e-08
axis_swap,dense,Float32,4,4,64,64,false,3.689580e-06,5.764969e-08
axis_swap,dense_packed,Float32,4,4,64,64,false,7.564590e-06,1.181967e-07
axis_swap,compiled_block_loop,Float32,4,4,64,64,false,8.085000e-06,1.263281e-07
m2m_z_translation,recurrence,Float64,4,8,1,1,false,1.844170e-07,1.844170e-07
m2l_z_translation,recurrence,Float64,4,8,1,1,false,3.654160e-07,3.654160e-07
l2l_z_translation,recurrence,Float64,4,8,1,1,false,2.135830e-07,2.135830e-07
axis_swap,recurrence,Float64,4,8,1,1,false,2.433330e-06,2.433330e-06
m2m_z_translation,dense,Float64,4,8,1,1,false,5.810420e-07,5.810420e-07
m2m_z_translation,dense_packed,Float64,4,8,1,1,false,8.330840e-07,8.330840e-07
m2m_z_translation,compiled_block_loop,Float64,4,8,1,1,false,2.578750e-07,2.578750e-07
m2l_z_translation,dense,Float64,4,8,1,1,false,6.108340e-07,6.108340e-07
m2l_z_translation,dense_packed,Float64,4,8,1,1,false,8.369170e-07,8.369170e-07
m2l_z_translation,compiled_block_loop,Float64,4,8,1,1,false,2.436250e-07,2.436250e-07
l2l_z_translation,dense,Float64,4,8,1,1,false,5.833340e-07,5.833340e-07
l2l_z_translation,dense_packed,Float64,4,8,1,1,false,8.309590e-07,8.309590e-07
l2l_z_translation,compiled_block_loop,Float64,4,8,1,1,false,2.433750e-07,2.433750e-07
axis_swap,dense,Float64,4,8,1,1,false,8.012500e-07,8.012500e-07
axis_swap,dense_packed,Float64,4,8,1,1,false,1.094170e-06,1.094170e-06
axis_swap,compiled_block_loop,Float64,4,8,1,1,false,7.112500e-07,7.112500e-07
m2m_z_translation,dense,Float32,4,8,1,1,false,6.445000e-07,6.445000e-07
m2m_z_translation,dense_packed,Float32,4,8,1,1,false,8.576660e-07,8.576660e-07
m2m_z_translation,compiled_block_loop,Float32,4,8,1,1,false,2.442080e-07,2.442080e-07
m2l_z_translation,dense,Float32,4,8,1,1,false,6.593340e-07,6.593340e-07
m2l_z_translation,dense_packed,Float32,4,8,1,1,false,8.517500e-07,8.517500e-07
m2l_z_translation,compiled_block_loop,Float32,4,8,1,1,false,2.429580e-07,2.429580e-07
l2l_z_translation,dense,Float32,4,8,1,1,false,6.587500e-07,6.587500e-07
l2l_z_translation,dense_packed,Float32,4,8,1,1,false,8.560000e-07,8.560000e-07
l2l_z_translation,compiled_block_loop,Float32,4,8,1,1,false,2.429160e-07,2.429160e-07
axis_swap,dense,Float32,4,8,1,1,false,8.852500e-07,8.852500e-07
axis_swap,dense_packed,Float32,4,8,1,1,false,1.144160e-06,1.144160e-06
axis_swap,compiled_block_loop,Float32,4,8,1,1,false,7.315000e-07,7.315000e-07
m2m_z_translation,recurrence,Float64,4,8,8,8,false,1.514580e-06,1.893225e-07
m2l_z_translation,recurrence,Float64,4,8,8,8,false,2.927500e-06,3.659375e-07
l2l_z_translation,recurrence,Float64,4,8,8,8,false,1.709160e-06,2.136450e-07
axis_swap,recurrence,Float64,4,8,8,8,false,1.899170e-05,2.373962e-06
m2m_z_translation,dense,Float64,4,8,8,8,false,1.271660e-06,1.589575e-07
m2m_z_translation,dense_packed,Float64,4,8,8,8,false,2.306250e-06,2.882813e-07
m2m_z_translation,compiled_block_loop,Float64,4,8,8,8,false,1.835830e-06,2.294787e-07
m2l_z_translation,dense,Float64,4,8,8,8,false,1.270830e-06,1.588537e-07
m2l_z_translation,dense_packed,Float64,4,8,8,8,false,2.289580e-06,2.861975e-07
m2l_z_translation,compiled_block_loop,Float64,4,8,8,8,false,1.933330e-06,2.416662e-07
l2l_z_translation,dense,Float64,4,8,8,8,false,1.270830e-06,1.588537e-07
l2l_z_translation,dense_packed,Float64,4,8,8,8,false,2.288330e-06,2.860413e-07
l2l_z_translation,compiled_block_loop,Float64,4,8,8,8,false,1.932910e-06,2.416138e-07
axis_swap,dense,Float64,4,8,8,8,false,2.078330e-06,2.597913e-07
axis_swap,dense_packed,Float64,4,8,8,8,false,3.824170e-06,4.780213e-07
axis_swap,compiled_block_loop,Float64,4,8,8,8,false,5.661250e-06,7.076563e-07
m2m_z_translation,dense,Float32,4,8,8,8,false,1.303750e-06,1.629688e-07
