stage,P,lamb_helmholtz,seconds
rotate_z,4,false,2.844580e-08
rotate_multipole_y,4,false,3.386250e-07
translate_multipole_z,4,false,4.622500e-08
translate_multipole_to_local_z,4,false,8.422500e-08
translate_local_z,4,false,5.441250e-08
rotate_z,4,true,4.023750e-08
rotate_multipole_y,4,true,4.124580e-07
translate_multipole_z,4,true,6.473750e-08
translate_multipole_to_local_z,4,true,1.125410e-07
translate_local_z,4,true,7.666250e-08
transform_lamb_helmholtz_multipole,4,true,4.137500e-08
transform_lamb_helmholtz_local,4,true,4.851250e-08
rotate_z,8,false,6.232500e-08
rotate_multipole_y,8,false,2.307080e-06
translate_multipole_z,8,false,1.846250e-07
translate_multipole_to_local_z,8,false,3.553330e-07
translate_local_z,8,false,2.070000e-07
rotate_z,8,true,8.521670e-08
rotate_multipole_y,8,true,2.691660e-06
translate_multipole_z,8,true,2.462090e-07
translate_multipole_to_local_z,8,true,4.701250e-07
translate_local_z,8,true,2.910830e-07
transform_lamb_helmholtz_multipole,8,true,1.115410e-07
transform_lamb_helmholtz_local,8,true,1.350000e-07
rotate_z,12,false,1.012080e-07
rotate_multipole_y,12,false,8.713750e-06
translate_multipole_z,12,false,4.575420e-07
translate_multipole_to_local_z,12,false,9.479160e-07
translate_local_z,12,false,5.216660e-07
rotate_z,12,true,1.464170e-07
rotate_multipole_y,12,true,9.800830e-06
translate_multipole_z,12,true,6.056250e-07
translate_multipole_to_local_z,12,true,1.239170e-06
translate_local_z,12,true,7.127500e-07
transform_lamb_helmholtz_multipole,12,true,2.148750e-07
transform_lamb_helmholtz_local,12,true,2.672910e-07
rotate_z,20,false,2.048750e-07
rotate_multipole_y,20,false,5.534170e-05
translate_multipole_z,20,false,1.612910e-06
translate_multipole_to_local_z,20,false,3.706250e-06
translate_local_z,20,false,1.877500e-06
rotate_z,20,true,3.168330e-07
rotate_multipole_y,20,true,5.972500e-05
translate_multipole_z,20,true,2.117500e-06
translate_multipole_to_local_z,20,true,4.750420e-06
translate_local_z,20,true,2.519160e-06
transform_lamb_helmholtz_multipole,20,true,5.207910e-07
transform_lamb_helmholtz_local,20,true,6.608750e-07
