precision,rho,amp_U_pred,amp_J_pred,relerr_U_two_pass,relerr_J_two_pass,relerr_J_single_pass,relerr_J_hybrid
Float64,0.01,3.760e+06,7.521e+06,3.039e-10,5.220e-10,1.404e-16,1.404e-16
Float64,0.02,4.700e+05,9.403e+05,3.625e-11,5.248e-11,1.448e-16,1.448e-16
Float64,0.05,3.010e+04,6.029e+04,1.284e-12,5.076e-12,3.244e-16,3.244e-16
Float64,0.1,3.771e+03,7.588e+03,2.070e-13,1.112e-12,1.695e-16,1.695e-16
Float64,0.25,2.452e+02,5.094e+02,2.442e-14,2.317e-14,1.660e-16,1.660e-16
Float64,0.5,3.240e+01,7.605e+01,1.799e-15,4.126e-15,2.344e-16,2.344e-16
Float64,1,5.031e+00,2.314e+01,1.066e-15,1.237e-15,1.055e-15,1.055e-15
Float64,2,1.354e+00,3.261e+00,7.069e-17,2.445e-16,1.681e-16,1.681e-16
Float64,3,1.030e+00,1.175e+00,1.778e-16,1.627e-16,1.245e-16,1.627e-16
Float64,4.789,1.000e+00,1.001e+00,7.279e-17,1.387e-16,1.241e-16,1.387e-16
Float32,0.01,3.760e+06,7.521e+06,7.415e-02,1.589e-01,1.075e-07,1.075e-07
Float32,0.02,4.700e+05,9.403e+05,4.635e-03,2.394e-02,1.324e-07,1.324e-07
Float32,0.05,3.010e+04,6.029e+04,5.865e-04,1.105e-03,1.515e-07,1.515e-07
Float32,0.1,3.771e+03,7.588e+03,1.461e-04,4.494e-04,4.854e-08,4.854e-08
Float32,0.25,2.452e+02,5.094e+02,1.287e-05,1.810e-05,5.482e-08,5.482e-08
Float32,0.5,3.240e+01,7.605e+01,6.739e-07,2.206e-06,3.346e-08,3.346e-08
Float32,1,5.031e+00,2.314e+01,3.849e-07,3.737e-07,1.697e-07,1.697e-07
Float32,2,1.354e+00,3.261e+00,8.296e-08,7.336e-08,7.299e-08,7.299e-08
Float32,3,1.030e+00,1.175e+00,1.008e-07,1.146e-07,6.435e-08,1.146e-07
Float32,4.789,1.000e+00,1.001e+00,4.220e-08,4.648e-08,6.224e-08,4.648e-08
