case,n,seed,P,virtual_depth,standalone_bad_pairs,partition_sum_ok,production_painter_contract
cube,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
cube,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
wake,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
multiscale,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
sigma_multiscale,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
boundary,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
extreme_sigma,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,4,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,8,0,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,4,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,8,1,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,4,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,8,2,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,4,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
coincident,64,41003,8,3,0,true,PASS_57790_assertions_test/adaptive_octree_test.jl:_adt_exact_once_bad
