key,value
mode,full
seam_mode,cuda
threads,16
julia_version,1.11.7
filament_regularization,GaussianRegularization
full.setup_kinematic_replay,0.102811579
full.setup_load_state,1.586760375
full.setup_replay_end_of_step,0.275247146
full.needs_body_hessian,false
full.needs_induced_vorticity,false
parity_i_step,1035
n_panels,36752
n_particles,181307
n_probe_targets,164
n_targets,3
n_wake_sources,3
target_types,RigidWakeBody|ProbeWrapper|ParticleField
wake_source_types,PanelWake|FilamentWrapper|ParticleField
pass1_wake_influence.source1.type,"FLOWPanel.PanelWake{FLOWPanel.VortexRing, 1, Float64}"
pass1_wake_influence.source1.supported,true
pass1_wake_influence.source1.columns,80
pass1_wake_influence.source2.type,"FLOWPanel.FilamentWrapper{FLOWPanel.PanelWake{FLOWPanel.VortexRing, 1, Float64}}"
pass1_wake_influence.source2.supported,true
pass1_wake_influence.source2.columns,80
pass1_wake_influence.source3.type,"FLOWVPM.ParticleField{Float64, FLOWVPM.ReformulatedVPM{Float64}, FLOWVPM.CoreSpreading{Float64, typeof(FLOWVPM.zeta_fmm), typeof(FLOWVPM.rbf_conjugategradient)}, typeof(FLOWVPM.nofreestream), FLOWVPM.DynamicSFS{Float64, typeof(FLOWVPM.Estr_fmm), typeof(FLOWVPM.dynamicprocedure_pseudo3level_beforeUJ), typeof(FLOWVPM.pseudo3level_positive_afterUJ), Tuple{}, Tuple{typeof(FLOWVPM.clipping_backscatter)}}, FLOWVPM.Kernel{typeof(FLOWVPM.zeta_gauserf), typeof(FLOWVPM.g_gauserf), typeof(FLOWVPM.dgdr_gauserf), typeof(FLOWVPM.g_dgdr_gauserf)}, typeof(FLOWVPM.UJ_fmm), typeof(FLOWVPM.euler), FLOWVPM.Relaxation{Float64, typeof(FLOWVPM.relax_correctedpedrizzetti), typeof(FLOWVPM.relax_filter_all)}, Matrix{Float64}}"
pass1_wake_influence.source3.supported,true
pass1_wake_influence.source3.columns,181307
pass1_wake_influence.target1.type,"FLOWPanel.RigidWakeBody{Union{FLOWPanel.ConstantSource, FLOWPanel.VortexRing}, 2, Float64, true}"
pass1_wake_influence.target1.supported,true
pass1_wake_influence.target2.type,"FLOWPanel.ProbeWrapper{FLOWPanel.PanelWake{FLOWPanel.VortexRing, 1, Float64}}"
pass1_wake_influence.target2.supported,true
