key,value
np,"210056"
n_panels,"36752"
julia_threads,"16"
pass1_f64_u_u_rel_rms,"1.3134469005427082e-16"
pass1_f64_u_j_rel_rms,"NaN"
pass1_f64_u_u_max_pertarget,"7.851926702414703e-16"
pass1_f64_u_u_worst_sample_idx,"1898"
pass1_f64_u_j_max_pertarget,"NaN"
pass1_f64_u_j_worst_sample_idx,"0"
pass1_f64_u_t_median_s,"0.124062325"
pass1_f64_u_t_all_s,"[0.124068036, 0.124157445, 0.124048208, 0.124062325, 0.124060617]"
pass1_f64_u_parity_pass,"true"
pass1_f64_uj_u_rel_rms,"1.3134469005427082e-16"
pass1_f64_uj_j_rel_rms,"2.611027556168191e-16"
pass1_f64_uj_u_max_pertarget,"7.851926702414703e-16"
pass1_f64_uj_u_worst_sample_idx,"1898"
pass1_f64_uj_j_max_pertarget,"2.1211722597449235e-15"
pass1_f64_uj_j_worst_sample_idx,"189"
pass1_f64_uj_t_median_s,"0.208999089"
pass1_f64_uj_t_all_s,"[0.209037963, 0.208751967, 0.208999089, 0.208763717, 0.209015212]"
pass1_f64_uj_parity_pass,"true"
pass1_f32_u_u_rel_rms,"2.8057037236303907e-5"
pass1_f32_u_j_rel_rms,"NaN"
pass1_f32_u_u_max_pertarget,"8.357724168290579e-5"
pass1_f32_u_u_worst_sample_idx,"1890"
pass1_f32_u_j_max_pertarget,"NaN"
pass1_f32_u_j_worst_sample_idx,"0"
pass1_f32_u_t_median_s,"0.071378429"
pass1_f32_u_t_all_s,"[0.07138658, 0.071375939, 0.071379024, 0.07137758, 0.071378429]"
pass1_f32_u_parity_pass,"true"
pass1_f32_uj_u_rel_rms,"2.8057037236303907e-5"
pass1_f32_uj_j_rel_rms,"4.494770743947759e-5"
pass1_f32_uj_u_max_pertarget,"8.357724168290579e-5"
pass1_f32_uj_u_worst_sample_idx,"1890"
pass1_f32_uj_j_max_pertarget,"0.00019307287476186727"
pass1_f32_uj_j_worst_sample_idx,"1400"
pass1_f32_uj_t_median_s,"0.129488166"
pass1_f32_uj_t_all_s,"[0.129465179, 0.129550192, 0.129488166, 0.129539643, 0.129460039]"
pass1_f32_uj_parity_pass,"true"
pass2_f64_u_u_rel_rms,"4.5208006920310134e-15"
pass2_f64_u_j_rel_rms,"NaN"
pass2_f64_u_u_max_pertarget,"4.1369533110962516e-10"
pass2_f64_u_u_worst_sample_idx,"1452"
pass2_f64_u_j_max_pertarget,"NaN"
pass2_f64_u_j_worst_sample_idx,"0"
pass2_f64_u_t_median_s,"2.026034084"
pass2_f64_u_t_all_s,"[2.026074519, 2.026034084, 2.025998342, 2.026004947, 2.02617012]"
pass2_f64_u_parity_pass,"true"
pass2_f64_uj_u_rel_rms,"4.520250924072312e-15"
pass2_f64_uj_j_rel_rms,"1.297938541736464e-15"
pass2_f64_uj_u_max_pertarget,"4.136390181850849e-10"
pass2_f64_uj_u_worst_sample_idx,"1452"
pass2_f64_uj_j_max_pertarget,"7.713944573547556e-10"
pass2_f64_uj_j_worst_sample_idx,"1442"
pass2_f64_uj_t_median_s,"3.653821861"
pass2_f64_uj_t_all_s,"[3.653726804, 3.654053858, 3.655497838, 3.653821861, 3.653522955]"
pass2_f64_uj_parity_pass,"true"
profile_pass2_tag1_source_u_t_median_s,"1.144135932"
profile_pass2_tag3_ring_u_t_median_s,"0.956852032"
profile_pass2_tag1_source_uj_t_median_s,"1.55829809"
profile_pass2_tag3_ring_uj_t_median_s,"2.130139009"
profile_pass1_targets_x2_u_t_median_s,"0.178057346"
profile_pass1_targets_x8_u_t_median_s,"0.491247869"
