host,gpu,variant,precision,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,n_angle_classes,nonempty_angle_classes,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,Float64,8,false,20000,3,192480,69664,0,0,0.0,0,0,27756.816501,1040187392,1113587712,11.253567412495613,0.6052479729987681,3.169568022713065,0.588800001423806,13.26895970851183,160,30.663991000000003,1738992,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,0,0,874.872582,67108864,136314880,11.253631673753262,0.6193919689394534,3.7645120173692703,0.5870080203749239,13.272063806653023,0,31.421728,1828160,1.8891836706114162e-10,1.3024267234151843e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,1306.656955,67108864,136314880,11.166623793542385,0.6038079736754298,2.0975680090487003,0.618399993982166,13.255423866212368,0,29.765821000000003,1762112,1.8891836706114162e-10,1.3024267234151843e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,35.513847,67108864,136314880,11.195359751582146,0.6347839953377843,94.7488322854042,0.6234560278244317,13.325375504791737,0,117.703185,23052768,1.8891839481671724e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,concat,Float64,8,true,20000,3,192480,69664,0,0,0.0,0,0,1172.303986,2516582400,2585788416,11.549663729965687,1.3153599575161934,6.718016229569912,1.2943040346726775,19.440511241555214,320,41.2981,2143536,NaN,1.0464450580800061e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,0,0,404.153807,100663296,169869312,11.538848280906677,1.3338240096345544,9.160864166915417,1.3122240779921412,19.399359822273254,0,43.811443999999995,2828912,NaN,1.0464450579065337e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,449.365427,100663296,169869312,11.562271974980831,1.3523519737645984,5.4076798260211945,1.3107520062476397,19.440000876784325,0,39.974249,2685504,NaN,1.0464450580800061e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,43.998714,100663296,169869312,11.561759747564793,1.409343909472227,283.03712606430054,1.3307839399203658,19.37718316912651,0,312.557676,67932800,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,concat,Float64,12,false,20000,3,230616,31528,0,0,0.0,0,0,29.433819,2013265920,2082471936,42.94351860880852,0.6064640474505723,8.995807729661465,0.592768017668277,45.59558629989624,160,100.972993,1727872,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,0,0,39.092708,100663296,169869312,42.932771146297455,0.6146240048110485,8.117440156638622,0.5922240088693798,45.669469982385635,0,100.374538,1978592,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,109.352833,134217728,203423744,42.92982444167137,0.6201599608175457,4.435808397829533,0.609055976383388,45.641377568244934,0,96.657807,1897664,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,91.161445,134217728,203423744,42.94271767139435,0.6176639581099153,96.62217646837234,0.6163520156405866,45.65584287047386,0,187.745612,24226848,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,concat,Float64,12,true,20000,3,222648,39496,0,0,0.0,0,0,46.507325,5066719232,5135925248,41.734177619218826,1.3094079913571477,17.893441021442413,1.2841919669881463,59.8788782954216,320,123.517191,2133200,NaN,1.2386041255141311e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,0,0,45.460935,167772160,236978176,41.68889671564102,1.312736072577536,20.024575293064117,1.2892800150439143,59.87987294793129,0,125.73510800000001,3089872,NaN,1.2386041185752372e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,113.91411,167772160,236978176,41.68633744120598,1.3406398938968778,10.988416150212288,1.3164160773158073,59.88588556647301,0,116.601757,2921376,NaN,1.2386041237794077e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,114.049848,167772160,236978176,41.68562963604927,1.3221119297668338,298.05997014045715,1.314432010985911,59.881437569856644,0,396.738808,70757536,NaN,1.2386041237794077e-9
