host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,factored_023a,2128,1010,6,2.106930693069307,1010,6,100.510077,10718888,120160,4.865657,1808,7.3238069999999995,113744,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_scalar,2128,197,100,10.802030456852792,1010,6,5.311854,2057760,1980640,2.354867,6192,4.534243,23104,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_gemm,2128,197,100,10.802030456852792,1010,6,4.949864,2057760,1980640,2.021249,6192,4.435518,23104,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_production,2128,197,100,10.802030456852792,1010,6,41.708453,2057760,1980640,2.029415,6192,4.441609,23104,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.737466,2057760,1980640,2.014296,6192,4.606659,23104,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.471385,2057760,1980640,1.99526,6192,4.4099200000000005,23104,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.48455,2057760,1980640,2.0031250000000003,6192,4.407485,23104,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,10.327062,2057760,1980640,2.063909,6192,4.468299,23104,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,factored_023a,1618,866,6,1.8683602771362586,866,6,6.432872,11291112,163360,9.434073,1808,13.144509000000001,121520,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,precomputed_scalar,1618,171,52,9.461988304093568,866,6,6.189856,4338304,2336544,3.996072,8848,7.345267,33536,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,precomputed_gemm,1618,171,52,9.461988304093568,866,6,6.066884,4338304,2336544,3.887728,8848,7.235792,33536,1,16
