host,kernel,cpu_model,julia_version,julia_threads,blas_vendor,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,factored_023a,2128,1010,6,2.106930693069307,1010,6,86.121575,10718888,120160,4.890442,1808,7.393256,113744,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_scalar,2128,197,100,10.802030456852792,1010,6,4.672442,2057760,1980640,2.278122,6192,4.694122999999999,23104,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_gemm,2128,197,100,10.802030456852792,1010,6,4.741372,2057760,1980640,2.291637,6192,4.7068769999999995,23104,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_production,2128,197,100,10.802030456852792,1010,6,18.272065,2057760,1980640,2.4535820000000004,6192,4.74057,23104,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.950044,2057760,1980640,2.231383,6192,4.637466,23104,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.467959,2057760,1980640,2.177583,6192,4.672352999999999,23104,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,4.586882,2057760,1980640,2.1229109999999998,6192,4.546697,23104,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,11.593692,2057760,1980640,2.15479,6192,4.547427,23104,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,factored_023a,1618,866,6,1.8683602771362586,866,6,6.443331,11291112,163360,9.637876,1808,13.340595,121520,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_scalar,1618,171,52,9.461988304093568,866,6,6.351057,4338304,2336544,4.163536,8848,7.493686,33536,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_gemm,1618,171,52,9.461988304093568,866,6,8.30987,4338304,2336544,4.3963730000000005,8848,7.74618,33536,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_production,1618,171,52,9.461988304093568,866,6,6.380904,4338304,2336544,4.089938,8848,7.42176,33536,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_candidate,1618,171,52,9.461988304093568,866,6,6.484649,4338304,2336544,4.2310419999999995,8848,7.614522,33536,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_candidate,1618,171,52,9.461988304093568,866,6,6.310711,4338304,2336544,4.16064,8848,7.464641,33536,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_candidate,1618,171,52,9.461988304093568,866,6,6.531066,4338304,2336544,4.086721,8848,7.476593,33536,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,150,precomputed_candidate,1618,171,52,9.461988304093568,866,6,9.388768,4338304,2336544,4.156572,8848,7.428914,33536,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,factored_023a,12364,2618,21,4.722689075630252,2618,21,29.620996,36175944,187360,106.032571,1808,113.050151,18464,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_scalar,12364,383,1146,32.281984334203656,2618,21,49.766141,15574688,59119840,43.043525,14256,48.87557700000001,31168,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_gemm,12364,383,1146,32.281984334203656,2618,21,38.583803,15574688,59119840,36.511017,14256,43.293715000000006,31168,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_production,12364,383,1146,32.281984334203656,2618,21,105.674708,15574688,59119840,36.45935,14256,43.214797,31168,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,37.487402,15574688,59119840,36.659707,14256,43.332158,31168,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,44.323091,15574688,59119840,36.940404,14256,42.92393,31168,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,132.639081,15574688,59119840,36.625091,14256,43.683478,31168,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,36.02898,15574688,59119840,37.918492,14256,44.080644,31168,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,factored_023a,12830,2578,21,4.976726144297905,2578,21,55.074209,50669416,307360,254.75533299999998,1808,266.56096299999996,26240,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_scalar,12830,381,1130,33.6745406824147,2578,21,73.142168,33898176,131439904,105.041096,28672,117.2059,53360,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_gemm,12830,381,1130,33.6745406824147,2578,21,145.085823,33898176,131439904,89.985287,28672,100.68021900000001,53360,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_production,12830,381,1130,33.6745406824147,2578,21,145.284076,33898176,131439904,91.021664,28672,103.502725,53360,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,91.302422,33898176,131439904,90.07267200000001,28672,101.26868499999999,53360,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,122.93516,33898176,131439904,88.80610999999999,28672,100.504708,53360,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,132.971944,33898176,131439904,89.191665,28672,100.165702,53360,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,144.899254,33898176,131439904,91.51935999999999,28672,102.39487199999999,53360,24,12
