variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
materialized,batched_operator,Float64,1,1,false,1,1,false,4.841690e-07,4.841690e-07
factored,batched_operator,Float64,1,1,false,1,1,false,2.924190e-07,2.924190e-07
materialized,batched_operator,Float64,1,1,false,2,2,false,8.561990e-07,4.280995e-07
factored,batched_operator,Float64,1,1,false,2,2,false,5.329310e-07,2.664655e-07
materialized,batched_operator,Float64,1,1,false,4,4,false,1.630970e-06,4.077425e-07
factored,batched_operator,Float64,1,1,false,4,4,false,1.035940e-06,2.589850e-07
materialized,batched_operator,Float64,1,1,false,8,8,false,3.134790e-06,3.918488e-07
factored,batched_operator,Float64,1,1,false,8,8,false,2.013180e-06,2.516475e-07
materialized,batched_operator,Float64,1,1,false,16,16,false,6.134530e-06,3.834081e-07
factored,batched_operator,Float64,1,1,false,16,16,false,3.989200e-06,2.493250e-07
materialized,batched_operator,Float64,1,1,false,32,32,false,1.212080e-05,3.787750e-07
factored,batched_operator,Float64,1,1,false,32,32,false,7.867580e-06,2.458619e-07
materialized,batched_operator,Float64,1,1,false,64,64,false,2.430870e-05,3.798234e-07
factored,batched_operator,Float64,1,1,false,64,64,false,1.572360e-05,2.456812e-07
materialized,batched_operator,Float64,1,1,false,256,256,false,9.639410e-05,3.765395e-07
factored,batched_operator,Float64,1,1,false,256,256,false,6.262270e-05,2.446199e-07
materialized,batched_operator,Float64,1,1,false,1024,1024,false,3.828190e-04,3.738467e-07
factored,batched_operator,Float64,1,1,false,1024,1024,false,2.507110e-04,2.448350e-07
materialized,batched_operator,Float64,1,1,false,4096,4096,false,1.542159e-03,3.765037e-07
factored,batched_operator,Float64,1,1,false,4096,4096,false,1.009798e-03,2.465327e-07
production_recurrence,recurrence,Float64,1,1,false,1,1,false,2.570230e-07,2.570230e-07
production_recurrence,recurrence,Float64,1,1,false,2,2,false,5.208790e-07,2.604395e-07
production_recurrence,recurrence,Float64,1,1,false,4,4,false,1.039750e-06,2.599375e-07
production_recurrence,recurrence,Float64,1,1,false,8,8,false,2.057970e-06,2.572463e-07
production_recurrence,recurrence,Float64,1,1,false,16,16,false,4.109430e-06,2.568394e-07
production_recurrence,recurrence,Float64,1,1,false,32,32,false,8.223350e-06,2.569797e-07
production_recurrence,recurrence,Float64,1,1,false,64,64,false,1.643490e-05,2.567953e-07
production_recurrence,recurrence,Float64,1,1,false,256,256,false,6.551910e-05,2.559340e-07
production_recurrence,recurrence,Float64,1,1,false,1024,1024,false,2.623230e-04,2.561748e-07
production_recurrence,recurrence,Float64,1,1,false,4096,2048,true,1.057288e-03,2.581270e-07
materialized,batched_operator,Float64,1,1,true,1,1,false,1.103850e-06,1.103850e-06
factored,batched_operator,Float64,1,1,true,1,1,false,9.289420e-07,9.289420e-07
materialized,batched_operator,Float64,1,1,true,2,2,false,2.092100e-06,1.046050e-06
factored,batched_operator,Float64,1,1,true,2,2,false,1.749860e-06,8.749300e-07
materialized,batched_operator,Float64,1,1,true,4,4,false,3.977020e-06,9.942550e-07
factored,batched_operator,Float64,1,1,true,4,4,false,3.372280e-06,8.430700e-07
materialized,batched_operator,Float64,1,1,true,8,8,false,7.748940e-06,9.686175e-07
factored,batched_operator,Float64,1,1,true,8,8,false,6.603010e-06,8.253762e-07
materialized,batched_operator,Float64,1,1,true,16,16,false,1.520840e-05,9.505250e-07
factored,batched_operator,Float64,1,1,true,16,16,false,1.307540e-05,8.172125e-07
materialized,batched_operator,Float64,1,1,true,32,32,false,3.030350e-05,9.469844e-07
factored,batched_operator,Float64,1,1,true,32,32,false,2.622890e-05,8.196531e-07
materialized,batched_operator,Float64,1,1,true,64,64,false,6.009400e-05,9.389687e-07
