config,n,ell,policy,P,lamb_helmholtz,routes,list_seconds,form,seconds,seconds_per_route
tiny_parent,256,2,parent,1,false,3096,5.110490e-04,concat_host,9.648520e-04,3.116447e-07
tiny_parent,256,2,parent,1,false,3096,5.110490e-04,route_recurrence,7.487291e-03,2.418376e-06
tiny_parent,256,2,parent,1,true,3096,5.110490e-04,concat_host,3.232180e-03,1.043986e-06
tiny_parent,256,2,parent,1,true,3096,5.110490e-04,route_recurrence,9.046850e-03,2.922109e-06
tiny_parent,256,2,parent,2,false,3096,6.101160e-04,concat_host,2.215500e-03,7.156008e-07
tiny_parent,256,2,parent,2,false,3096,6.101160e-04,route_recurrence,8.237099e-03,2.660562e-06
tiny_parent,256,2,parent,2,true,3096,6.101160e-04,concat_host,6.826671e-03,2.204997e-06
tiny_parent,256,2,parent,2,true,3096,6.101160e-04,route_recurrence,1.057704e-02,3.416358e-06
tiny_parent,256,2,parent,3,false,3096,4.037080e-04,concat_host,4.645404e-03,1.500453e-06
tiny_parent,256,2,parent,3,false,3096,4.037080e-04,route_recurrence,9.433316e-03,3.046937e-06
tiny_parent,256,2,parent,3,true,3096,4.037080e-04,concat_host,1.250572e-02,4.039314e-06
tiny_parent,256,2,parent,3,true,3096,4.037080e-04,route_recurrence,1.291793e-02,4.172458e-06
tiny_parent,256,2,parent,4,false,3096,4.737200e-04,concat_host,7.700872e-03,2.487362e-06
tiny_parent,256,2,parent,4,false,3096,4.737200e-04,route_recurrence,1.133979e-02,3.662722e-06
tiny_parent,256,2,parent,4,true,3096,4.737200e-04,concat_host,2.008197e-02,6.486426e-06
tiny_parent,256,2,parent,4,true,3096,4.737200e-04,route_recurrence,1.614333e-02,5.214253e-06
tiny_parent,256,2,parent,6,false,3096,4.700630e-04,concat_host,1.729554e-02,5.586415e-06
tiny_parent,256,2,parent,6,false,3096,4.700630e-04,route_recurrence,1.767179e-02,5.707942e-06
tiny_parent,256,2,parent,6,true,3096,4.700630e-04,concat_host,9.928511e-02,3.206883e-05
tiny_parent,256,2,parent,6,true,3096,4.700630e-04,route_recurrence,2.645902e-02,8.546195e-06
tiny_parent,256,2,parent,8,false,3096,1.098503e-03,concat_host,7.699393e-02,2.486884e-05
tiny_parent,256,2,parent,8,false,3096,1.098503e-03,route_recurrence,3.033649e-02,9.798609e-06
tiny_parent,256,2,parent,8,true,3096,1.098503e-03,concat_host,1.452195e-01,4.690551e-05
tiny_parent,256,2,parent,8,true,3096,1.098503e-03,route_recurrence,4.356425e-02,1.407114e-05
small_constp,2048,3,constp,1,false,8,7.267429e-03,concat_host,6.553700e-06,8.192125e-07
small_constp,2048,3,constp,1,false,8,7.267429e-03,route_recurrence,2.038930e-05,2.548662e-06
small_constp,2048,3,constp,1,true,8,7.267429e-03,concat_host,1.802480e-05,2.253100e-06
small_constp,2048,3,constp,1,true,8,7.267429e-03,route_recurrence,2.468140e-05,3.085175e-06
