layout,precision,blas_threads,P_phi,P_active,batch,ndof_phi,ndof_chi,gemms_per_stagepass,seconds,seconds_per_expansion
ragged,Float64,1,2,3,64,9,16,10,3.310410e-05,5.172516e-07
padded,Float64,1,2,3,64,16,16,10,4.246270e-05,6.634797e-07
padded_merged,Float64,1,2,3,64,16,16,5,4.170120e-05,6.515812e-07
ragged,Float64,1,2,3,4096,9,16,10,2.022336e-03,4.937344e-07
padded,Float64,1,2,3,4096,16,16,10,2.536200e-03,6.191895e-07
padded_merged,Float64,1,2,3,4096,16,16,5,2.556288e-03,6.240937e-07
ragged,Float64,1,4,5,64,25,36,10,9.742200e-05,1.522219e-06
padded,Float64,1,4,5,64,36,36,10,1.198650e-04,1.872891e-06
padded_merged,Float64,1,4,5,64,36,36,5,1.153770e-04,1.802766e-06
ragged,Float64,1,4,5,4096,25,36,10,5.966930e-03,1.456770e-06
padded,Float64,1,4,5,4096,36,36,10,7.200956e-03,1.758046e-06
padded_merged,Float64,1,4,5,4096,36,36,5,7.215072e-03,1.761492e-06
ragged,Float64,1,8,9,64,81,100,10,5.582170e-04,8.722141e-06
padded,Float64,1,8,9,64,100,100,10,6.520340e-04,1.018803e-05
padded_merged,Float64,1,8,9,64,100,100,5,6.259450e-04,9.780391e-06
ragged,Float64,1,8,9,4096,81,100,10,3.567754e-02,8.710336e-06
padded,Float64,1,8,9,4096,100,100,10,4.156376e-02,1.014740e-05
padded_merged,Float64,1,8,9,4096,100,100,5,4.379248e-02,1.069152e-05
ragged,Float64,1,12,13,64,169,196,10,2.017186e-03,3.151853e-05
padded,Float64,1,12,13,64,196,196,10,2.290259e-03,3.578530e-05
padded_merged,Float64,1,12,13,64,196,196,5,2.180503e-03,3.407036e-05
ragged,Float64,1,12,13,4096,169,196,10,1.246911e-01,3.044216e-05
padded,Float64,1,12,13,4096,196,196,10,1.406037e-01,3.432708e-05
padded_merged,Float64,1,12,13,4096,196,196,5,1.424720e-01,3.478320e-05
ragged,Float64,1,20,21,64,441,484,10,1.254385e-02,1.959977e-04
padded,Float64,1,20,21,64,484,484,10,1.364874e-02,2.132615e-04
padded_merged,Float64,1,20,21,64,484,484,5,1.242732e-02,1.941768e-04
ragged,Float64,1,20,21,4096,441,484,10,7.051219e-01,1.721489e-04
padded,Float64,1,20,21,4096,484,484,10,7.641801e-01,1.865674e-04
padded_merged,Float64,1,20,21,4096,484,484,5,7.651848e-01,1.868127e-04
