config,n,ell,P,lamb_helmholtz,policy,strategy,routes,direct_pairs,list_time,build_time,exec_time,exec_max,host_time,host_concat_m2l,host_recur_m2l,t_b2m,t_m2m,t_m2l,t_l2l,t_l2b
tiny_parent,128,2,1,false,parent,shared,1954,647,4.997490e-04,3.839695e+00,1.711602e+00,1.725256e+00,3.790400e-03,4.475660e-04,3.937467e-03,4.109900e-05,1.125817e-03,1.832061e+00,1.029354e-03,5.117900e-05
tiny_parent,128,2,1,false,parent,concat,1954,647,4.997490e-04,2.396030e-01,2.964165e-03,3.194113e-03,3.790400e-03,4.475660e-04,3.937467e-03,3.800300e-05,1.073699e-03,2.774350e-04,1.018849e-03,5.075000e-05
tiny_parent,128,2,1,true,parent,shared,1954,647,4.533340e-04,5.053315e-01,4.082941e+00,4.400484e+00,5.051982e-03,1.529961e-03,4.712644e-03,4.632100e-05,2.456577e-03,4.076510e+00,2.240183e-03,7.884400e-05
tiny_parent,128,2,1,true,parent,concat,1954,647,4.533340e-04,1.477385e-01,5.884332e-03,6.142428e-03,5.051982e-03,1.529961e-03,4.712644e-03,4.344300e-05,2.341811e-03,5.753220e-04,2.221057e-03,7.724400e-05
tiny_parent,128,2,2,false,parent,shared,1954,647,4.397510e-04,3.286108e-02,2.371630e+00,2.570021e+00,4.438375e-03,1.020637e-03,4.435253e-03,6.516400e-05,1.093505e-03,2.394324e+00,1.029491e-03,7.820200e-05
tiny_parent,128,2,2,false,parent,concat,1954,647,4.397510e-04,1.518463e-03,3.038484e-03,3.086382e-03,4.438375e-03,1.020637e-03,4.435253e-03,6.415600e-05,1.090725e-03,2.758810e-04,1.022470e-03,7.436600e-05
tiny_parent,128,2,2,true,parent,shared,1954,647,4.517180e-04,4.752314e-02,5.580651e+00,5.662764e+00,6.749906e-03,3.024403e-03,5.641043e-03,6.995200e-05,2.370526e-03,5.999090e+00,2.241236e-03,1.252890e-04
tiny_parent,128,2,2,true,parent,concat,1954,647,4.517180e-04,2.072847e-03,6.152037e-03,6.301526e-03,6.749906e-03,3.024403e-03,5.641043e-03,6.903900e-05,2.400646e-03,5.882490e-04,2.260831e-03,1.240240e-04
tiny_parent,128,2,3,false,parent,shared,1954,647,4.353020e-04,3.793671e-02,3.289851e+00,3.509018e+00,5.697571e-03,1.906196e-03,5.169368e-03,1.126540e-04,1.107992e-03,3.481738e+00,1.025461e-03,1.197690e-04
tiny_parent,128,2,3,false,parent,concat,1954,647,4.353020e-04,1.877683e-03,3.063390e-03,3.141736e-03,5.697571e-03,1.906196e-03,5.169368e-03,1.112740e-04,1.090561e-03,2.788070e-04,1.017864e-03,1.189820e-04
tiny_parent,128,2,3,true,parent,shared,1954,647,4.357950e-04,5.496613e-02,7.819686e+00,8.111958e+00,9.503858e-03,5.317445e-03,6.854632e-03,1.176750e-04,2.457124e-03,7.905946e+00,2.251321e-03,2.189730e-04
tiny_parent,128,2,3,true,parent,concat,1954,647,4.357950e-04,2.679562e-03,6.215496e-03,6.264126e-03,9.503858e-03,5.317445e-03,6.854632e-03,1.163400e-04,2.441979e-03,5.840370e-04,2.233601e-03,2.134020e-04
tiny_parent,128,2,4,false,parent,shared,1954,647,4.477720e-04,4.184906e-02,4.373002e+00,4.402372e+00,7.532506e-03,3.263807e-03,6.270714e-03,1.982140e-04,1.132185e-03,4.215841e+00,1.033952e-03,2.051350e-04
tiny_parent,128,2,4,false,parent,concat,1954,647,4.477720e-04,2.657548e-03,3.202270e-03,3.291857e-03,7.532506e-03,3.263807e-03,6.270714e-03,1.981500e-04,1.123646e-03,2.799350e-04,1.032278e-03,2.040350e-04
tiny_parent,128,2,4,true,parent,shared,1954,647,4.635750e-04,6.334830e-02,9.498228e+00,9.531683e+00,1.308384e-02,8.341845e-03,8.774794e-03,2.035040e-04,2.497238e-03,9.644191e+00,2.300547e-03,3.439850e-04
tiny_parent,128,2,4,true,parent,concat,1954,647,4.635750e-04,3.391131e-03,6.415467e-03,6.490722e-03,1.308384e-02,8.341845e-03,8.774794e-03,2.036100e-04,2.447665e-03,5.845190e-04,2.259494e-03,3.414560e-04
tiny_parent3,512,3,1,false,parent,concat,99986,4343,9.873956e-03,1.279675e-02,1.151912e-02,1.166694e-02,3.524078e-02,2.546934e-02,2.119419e-01,3.508300e-05,5.113709e-03,2.962400e-04,5.008519e-03,4.512000e-05
tiny_parent3,512,3,1,true,parent,concat,99986,4343,9.806787e-03,9.314900e-03,2.366102e-02,3.136692e-02,1.010335e-01,8.933311e-02,2.479988e-01,4.006600e-05,1.110201e-02,6.161440e-04,1.088546e-02,6.653000e-05
tiny_parent3,512,3,2,false,parent,concat,99986,4343,9.784664e-03,8.676723e-03,1.137538e-02,2.046808e-02,6.936803e-02,5.796739e-02,2.504133e-01,5.612800e-05,5.065739e-03,3.008810e-04,4.973862e-03,6.444500e-05
tiny_parent3,512,3,2,true,parent,concat,99986,4343,9.980962e-03,9.882215e-03,2.377432e-02,3.382257e-02,1.995551e-01,1.858506e-01,3.079918e-01,6.191700e-05,1.108748e-02,6.248770e-04,1.086830e-02,1.065580e-04
tiny_parent3,512,3,3,false,parent,concat,99986,4343,1.004957e-02,8.991643e-03,1.148059e-02,2.861748e-02,1.259268e-01,1.101208e-01,3.093926e-01,9.546300e-05,5.105120e-03,3.158180e-04,5.006244e-03,1.019430e-04
tiny_parent3,512,3,3,true,parent,concat,99986,4343,1.011665e-02,1.267729e-02,2.397710e-02,2.424466e-02,3.460188e-01,3.277967e-01,3.797860e-01,1.011450e-04,1.115941e-02,8.729770e-04,1.144505e-02,1.790510e-04
tiny_parent3,512,3,4,false,parent,concat,99986,4343,1.013002e-02,9.808177e-03,1.157949e-02,1.175360e-02,2.086936e-01,1.933137e-01,3.483607e-01,1.631820e-04,5.137733e-03,5.077850e-04,4.979221e-03,1.677720e-04
tiny_parent3,512,3,4,true,parent,concat,99986,4343,9.925810e-03,2.825072e-02,2.425663e-02,2.438737e-02,5.404968e-01,5.243925e-01,4.769347e-01,1.685570e-04,1.128654e-02,1.206635e-03,1.101772e-02,2.873950e-04
small_constp,1000,3,2,false,constp,concat,43286,140755,7.673274e-03,1.069322e-02,1.121112e-02,1.130706e-02,6.108841e-01,2.320275e-02,1.014148e-01,7.091400e-05,4.923839e-03,2.907580e-04,4.827313e-03,1.243060e-04
small_constp,1000,3,2,true,constp,concat,43286,140755,1.038909e-02,6.342788e-03,2.297096e-02,2.317181e-02,6.724817e-01,7.099326e-02,1.288254e-01,7.567400e-05,1.063025e-02,5.981100e-04,1.045724e-02,1.921120e-04
small_constp,1000,3,3,false,constp,concat,105056,78985,1.042980e-02,6.588727e-03,1.114061e-02,1.125130e-02,5.094192e-01,1.133937e-01,2.815554e-01,1.251760e-04,4.917708e-03,3.340920e-04,4.770423e-03,1.639580e-04
small_constp,1000,3,3,true,constp,concat,105056,78985,6.629084e-03,8.611288e-03,2.297847e-02,3.877484e-02,7.565562e-01,3.378335e-01,3.797587e-01,1.310840e-04,1.063799e-02,9.140320e-04,1.044559e-02,2.598910e-04
small_constp,1000,3,4,false,constp,concat,22954,161087,5.712921e-03,6.123392e-03,1.123093e-02,1.143177e-02,7.250444e-01,3.774650e-02,7.217739e-02,2.251570e-04,4.912398e-03,2.871880e-04,4.780849e-03,2.845240e-04
small_constp,1000,3,4,true,constp,concat,22954,161087,6.159126e-03,6.314434e-03,2.352290e-02,4.006092e-02,7.975011e-01,1.065758e-01,1.056877e-01,2.297640e-04,1.072255e-02,5.918160e-04,1.050311e-02,4.383060e-04
medium_constp,10000,4,2,false,constp,concat,10278168,3679528,5.992529e-01,6.611089e-01,3.467088e-02,3.509305e-02,2.919761e+01,5.720007e+00,NaN,8.652700e-05,5.424939e-03,2.310797e-02,5.352557e-03,2.098231e-03
medium_constp,10000,4,2,true,constp,concat,10278168,3679528,7.813192e-01,6.571814e-01,7.267785e-02,1.223792e-01,4.379796e+01,1.893118e+01,NaN,9.255100e-05,1.162389e-02,5.541626e-02,1.164445e-02,2.205670e-03
medium_constp,10000,4,3,false,constp,concat,12308768,1648928,4.383372e-01,6.489843e-01,4.201471e-02,4.212304e-02,2.483157e+01,1.372234e+01,NaN,1.612380e-04,5.407362e-03,3.395670e-02,5.137943e-03,7.498870e-04
medium_constp,10000,4,3,true,constp,concat,12308768,1648928,2.777226e-01,6.634245e-01,1.149437e-01,1.154301e-01,5.182512e+01,4.033615e+01,NaN,1.643480e-04,1.157254e-02,9.825805e-02,1.130099e-02,8.777080e-04
medium_constp,10000,4,4,false,constp,concat,9650718,4306978,3.449060e-01,5.425286e-01,5.524998e-02,5.538011e-02,4.758661e+01,1.829324e+01,NaN,2.829410e-04,5.473932e-03,4.480131e-02,5.363434e-03,2.878855e-03
medium_constp,10000,4,4,true,constp,concat,9650718,4306978,7.661952e-01,5.598275e-01,1.280033e-01,1.285039e-01,8.085011e+01,5.155507e+01,NaN,2.874900e-04,1.210795e-02,1.088968e-01,1.149824e-02,3.087906e-03
