label,case,n,ell,q,tf,strategy,mode,subsort,rho_t,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,n_direct
wake1e5,wake,100000,5,16,F32,regularized,classsplit,1,4.7890,27.231800,9.754174,4.6565e-04,4.5677e-03,NaN,NaN,202576
wake1e5,wake,100000,5,16,F32,partitioned,classsplit,1,4.7890,20.448945,8.372578,4.6571e-04,4.5678e-03,0.8195,0.6767,202576
wake1e5,wake,100000,5,16,F32,twopass,classsplit,1,4.7890,21.975209,11.901215,4.6571e-04,4.5678e-03,0.9589,0.7313,202576
wake1e5,wake,100000,5,16,F32,partitioned_rms,classsplit,1,4.2520,20.482419,8.248979,4.6644e-04,4.5716e-03,0.8495,0.7303,202576
wake1e5,wake,100000,5,16,F32,twopass_rms,classsplit,1,4.2520,21.599881,11.490522,4.6644e-04,4.5716e-03,0.9589,0.7313,202576
wake1e5,wake,100000,5,16,F32,partitioned_unbinned,unbinned,0,4.7890,26.167958,8.898241,4.6571e-04,4.5678e-03,0.7568,0.5643,202576
wake1e5,wake,100000,5,16,F32,partitioned_cs_nosub,classsplit,0,4.7890,20.536059,8.572591,4.6571e-04,4.5678e-03,0.7569,0.5645,202576
wake1e5,wake,100000,5,16,F64,regularized,classsplit,1,4.7890,46.384002,21.628873,4.6566e-04,4.5677e-03,NaN,NaN,202576
wake1e5,wake,100000,5,16,F64,partitioned,classsplit,1,4.7890,29.078396,17.130337,4.6572e-04,4.5678e-03,0.8195,0.6767,202576
wake1e5,wake,100000,5,16,F64,twopass,classsplit,1,4.7890,36.847103,24.839959,4.6572e-04,4.5678e-03,0.9589,0.7313,202576
wake1e5,wake,100000,5,16,F64,partitioned_rms,classsplit,1,4.2520,28.707573,16.747971,4.6645e-04,4.5716e-03,0.8495,0.7303,202576
wake1e5,wake,100000,5,16,F64,twopass_rms,classsplit,1,4.2520,36.002938,24.008045,4.6645e-04,4.5716e-03,0.9589,0.7313,202576
wake1e5,wake,100000,5,16,F64,partitioned_unbinned,unbinned,0,4.7890,44.116034,18.372971,4.6572e-04,4.5678e-03,0.7567,0.5641,202576
wake1e5,wake,100000,5,16,F64,partitioned_cs_nosub,classsplit,0,4.7890,30.428371,17.590692,4.6572e-04,4.5678e-03,0.7568,0.5644,202576
