case,n,K,bracket,c1_underfill,c2_divergence,c3_edge_overhead,c4_load_reuse_proxy,c5_irreducible,combined_ceiling_123
cube,100000,64,1,0.2735,0.0707,0.0156,0.0180,0.6402,0.3566
cube,100000,64,2,0.2717,0.0769,0.0223,0.0155,0.6291,0.3676
cube,100000,64,3,0.2692,0.0815,0.0312,0.0135,0.6182,0.3784
wake,100000,256,1,0.5259,0.0153,0.0187,0.0138,0.4400,0.5594
wake,100000,256,2,0.5213,0.0169,0.0273,0.0121,0.4345,0.5649
wake,100000,256,3,0.5152,0.0181,0.0387,0.0107,0.4280,0.5713
sigma_multiscale,100000,64,1,0.4665,0.0233,0.0168,0.0142,0.4934,0.5056
sigma_multiscale,100000,64,2,0.4622,0.0266,0.0260,0.0132,0.4852,0.5136
sigma_multiscale,100000,64,3,0.4562,0.0293,0.0385,0.0122,0.4760,0.5228
rotor,100000,64,1,0.3608,0.0614,0.0136,0.0135,0.5642,0.3414
rotor,100000,64,2,0.3586,0.0651,0.0189,0.0113,0.5573,0.3455
rotor,100000,64,3,0.3558,0.0676,0.0259,0.0097,0.5507,0.3507
rotor,100000,256,1,0.1002,0.0146,0.0040,0.0057,0.8811,0.1058
rotor,100000,256,2,0.1001,0.0147,0.0053,0.0046,0.8798,0.1071
rotor,100000,256,3,0.0999,0.0148,0.0071,0.0038,0.8782,0.1088
rotor,1000000,64,1,0.3614,0.0773,0.0116,0.0114,0.5497,0.3268
rotor,1000000,64,2,0.3594,0.0834,0.0164,0.0097,0.5408,0.3312
rotor,1000000,64,3,0.3567,0.0878,0.0227,0.0084,0.5328,0.3364
