body ncells=36752 lamb_helmholtz=false core_size=0.001 threads=4
dense reference: 5000 targets, 12.8 s, rms|U|=5.4562e-02

warmup done
q    ellx  P   |  relRMS_U |   margin    n_m2l  nearInt |   t_b2m(s)    t_m2m    t_m2l   t_near | verdict
3    5     3   | 5.417e-03 |     0.02     4124   256962 |      0.071    0.024    1.323    0.178 | fail
3    5     4   | 5.405e-03 |     0.02     4124   256962 |      0.040    0.000    1.292    0.142 | fail
3    5     6   | 5.308e-03 |     0.02     4124   256962 |      0.067    0.000    1.301    0.140 | fail
3    5     8   | 5.232e-03 |     0.02     4124   256962 |      0.100    0.000    1.324    0.142 | fail
3    6     3   | 2.693e-02 |     0.00     5115    36379 |      0.029    0.000    2.510    0.113 | fail
3    6     4   | 2.588e-02 |     0.00     5115    36379 |      0.040    0.000    2.468    0.111 | fail
3    6     6   | 2.606e-02 |     0.00     5115    36379 |      0.066    0.001    2.480    0.113 | fail
3    6     8   | 2.628e-02 |     0.00     5115    36379 |      0.102    0.001    2.565    0.111 | fail
3    7     3   | 9.196e-02 |     0.00     5603     4269 |      0.030    0.001    3.703    0.109 | fail
3    7     4   | 9.276e-02 |     0.00     5603     4269 |      0.041    0.003    3.718    0.109 | fail
3    7     6   | 9.249e-02 |     0.00     5603     4269 |      0.067    0.003    3.782    0.109 | fail
3    7     8   | 9.244e-02 |     0.00     5603     4269 |      0.101    0.004    3.777    0.109 | fail
3    8     3   | 1.400e-01 |     0.00     5845      799 |      0.034    0.005    5.014    0.110 | fail
3    8     4   | 1.471e-01 |     0.00     5845      799 |      0.043    0.006    4.983    0.110 | fail
3    8     6   | 1.436e-01 |     0.00     5845      799 |      0.070    0.010    5.050    0.109 | fail
3    8     8   | 1.470e-01 |     0.00     5845      799 |      0.103    0.020    5.097    0.109 | fail
5    5     3   | 3.214e-03 |     0.03     7635   568431 |      0.029    0.000    2.694    0.300 | fail
5    5     4   | 3.106e-03 |     0.03     7635   568431 |      0.040    0.000    2.709    0.298 | fail
5    5     6   | 3.039e-03 |     0.03     7635   568431 |      0.068    0.000    2.719    0.302 | fail
5    5     8   | 3.052e-03 |     0.03     7635   568431 |      0.101    0.000    2.788    0.302 | fail
5    6     3   | 8.232e-03 |     0.01     9953    65829 |      0.029    0.000    5.230    0.231 | fail
5    6     4   | 8.220e-03 |     0.01     9953    65829 |      0.040    0.000    5.221    0.231 | fail
5    6     6   | 8.468e-03 |     0.01     9953    65829 |      0.066    0.001    5.235    0.231 | fail
5    6     8   | 8.478e-03 |     0.01     9953    65829 |      0.100    0.001    5.322    0.230 | fail
5    7     3   | 2.633e-02 |     0.00    10902    10000 |      0.030    0.001    7.865    0.227 | fail
5    7     4   | 2.218e-02 |     0.00    10902    10000 |      0.041    0.002    7.921    0.228 | fail
5    7     6   | 2.028e-02 |     0.00    10902    10000 |      0.066    0.003    7.901    0.226 | fail
5    7     8   | 2.044e-02 |     0.00    10902    10000 |      0.104    0.004    8.003    0.226 | fail
5    8     3   | 1.725e-01 |     0.00    11500     1405 |      0.031    0.005   10.572    0.227 | fail
5    8     4   | 1.604e-01 |     0.00    11500     1405 |      0.045    0.006   10.628    0.228 | fail
5    8     6   | 1.521e-01 |     0.00    11500     1405 |      0.069    0.010   10.615    0.272 | fail
5    8     8   | 1.521e-01 |     0.00    11500     1405 |      0.104    0.018   10.667    0.227 | fail
12   5     3   | 8.574e-04 |     0.12    17499  1713242 |      0.029    0.000    7.118    0.912 | fail
12   5     4   | 8.436e-04 |     0.12    17499  1713242 |      0.040    0.000    7.090    0.916 | fail
12   5     6   | 8.430e-04 |     0.12    17499  1713242 |      0.066    0.000    7.120    0.916 | fail
12   5     8   | 8.431e-04 |     0.12    17499  1713242 |      0.101    0.000    7.161    0.924 | fail
12   6     3   | 5.507e-03 |     0.02    25080   195243 |      0.029    0.000   13.979    0.709 | fail
12   6     4   | 5.495e-03 |     0.02    25080   195243 |      0.040    0.000   14.062    0.709 | fail
12   6     6   | 5.493e-03 |     0.02    25080   195243 |      0.066    0.001   14.041    0.712 | fail
12   6     8   | 5.493e-03 |     0.02    25080   195243 |      0.102    0.001   14.138    0.710 | fail
12   7     3   | 1.324e-02 |     0.01    28267    30007 |      0.030    0.001   21.293    0.705 | fail
12   7     4   | 1.324e-02 |     0.01    28267    30007 |      0.040    0.002   21.302    0.705 | fail
12   7     6   | 1.326e-02 |     0.01    28267    30007 |      0.066    0.003   21.403    0.705 | fail
12   7     8   | 1.326e-02 |     0.01    28267    30007 |      0.101    0.005   21.443    0.705 | fail
12   8     3   | 7.380e-02 |     0.00    30052     3532 |      0.032    0.005   28.756    0.709 | fail
12   8     4   | 7.284e-02 |     0.00    30052     3532 |      0.043    0.006   28.811    0.709 | fail
12   8     6   | 7.277e-02 |     0.00    30052     3532 |      0.071    0.010   28.832    0.710 | fail
12   8     8   | 7.277e-02 |     0.00    30052     3532 |      0.104    0.018   28.954    0.709 | fail
┌ Warning: FMM radius inflation (0.005897977468151848) exceeds 10× the panel radius (2.0180581352456914e-5): core_size 0.001 is large relative to the panel size, so most interactions will be evaluated directly.
└ @ FLOWPanel ~/Dropbox/research/projects/FLOWPanel.jl/src/FLOWPanel_abstractbody.jl:1202

NO CONFIG CLEARED 1e-4
DONE
