Geometry: REAL step-472 snapshot
  n_sources (panel centroids) = 36752, n_targets (particles) = 241986
  dense pair total = 8.893e+09
  threads = 4

Shared grid: center=[0.19017269228827174, 8.820909171000646e-5, -1.0244255792365986e-5] halfwidth=0.22633

leaf      theta  | t_tree(s) t_trav(s) |    n_M2L   n_near  nearpairs |   frac_dense t_near(s) |  t_M2L(s)  total(s)      gate | verdict
32        0.40   |     0.020     0.011 |   107527   116007   17185008 |      0.00193    0.0064 |    0.0001    0.0065      0.60 | PASS (classes=16793)
32        0.50   |     0.017     0.006 |    62631    65240    9847891 |      0.00111    0.0037 |    0.0000    0.0037      0.60 | PASS (classes=11036)
32        0.60   |     0.019     0.002 |    35181    36808    5341651 |      0.00060    0.0020 |    0.0000    0.0020      0.60 | PASS (classes=6319)
64        0.40   |     0.013     0.003 |    67821    67365   34182449 |      0.00384    0.0127 |    0.0000    0.0127      0.60 | PASS (classes=11414)
64        0.50   |     0.014     0.002 |    40927    37803   18267466 |      0.00205    0.0068 |    0.0000    0.0068      0.60 | PASS (classes=7486)
64        0.60   |     0.015     0.002 |    23848    21432    9980526 |      0.00112    0.0037 |    0.0000    0.0037      0.60 | PASS (classes=4614)
128       0.40   |     0.049     0.002 |    44993    40891   68993716 |      0.00776    0.0256 |    0.0000    0.0256      0.60 | PASS (classes=7527)
128       0.50   |     0.016     0.001 |    28621    22180   35968566 |      0.00404    0.0133 |    0.0000    0.0134      0.60 | PASS (classes=5125)
128       0.60   |     0.021     0.002 |    16805    12241   19072555 |      0.00214    0.0071 |    0.0000    0.0071      0.60 | PASS (classes=3134)
256       0.40   |     0.049     0.001 |    28772    22999  148670263 |      0.01672    0.0552 |    0.0000    0.0552      0.60 | PASS (classes=5777)
256       0.50   |     0.019     0.001 |    19464    12014   71449193 |      0.00803    0.0265 |    0.0000    0.0265      0.60 | PASS (classes=3870)
256       0.60   |     0.016     0.000 |    11882     6491   38507201 |      0.00433    0.0143 |    0.0000    0.0143      0.60 | PASS (classes=2342)

Best modeled total: 0.0020 s (leaf=32 theta=0.60) vs gate 0.6 s -> margin 298.8x
